"SurveyResponseID","AnswerNumber","AirlineUsed","AirlineRating"
3184637,125,"JetStar","9"
3184645,136,"Air New Zealand","Excellent  10"
3184614,123,"JetStar","5"
3184639,131,"JetStar","8"
3184629,167,"British Airways","Excellent  10"
3184619,150,"Emirates","9"
3184645,138,"Emirates","6"
3184625,129,"China Southern","6"
3184639,130,"Air New Zealand","7"
3184616,139,"Air New Zealand","Excellent  10"
3184620,145,"Air New Zealand","6"
3184649,147,"Emirates","Excellent  10"
3184618,145,"Emirates","7"
3184639,133,"Another airline",NA
3184610,128,"Another airline",NA
3184653,146,"JetStar","9"
3184634,133,"Air New Zealand","6"
3184611,131,"Not sure",NA
3184606,148,"Qantas","8"
3184614,124,"Qantas","Excellent  10"
3184639,132,"Qantas","8"
3184620,146,"Qantas","7"
3184622,148,"Emirates","Excellent  10"
3184638,136,"Not sure",NA
3184642,122,"Not sure",NA
3184682,133,"Emirates","7"
3184636,136,"Qantas","6"
3184625,128,"Air New Zealand","Excellent  10"
3184645,137,"JetStar","9"
3184614,122,"Air New Zealand","9"
3184623,143,"Not sure",NA
3184606,149,"Emirates","9"
3184647,143,"Emirates","8"
3184651,136,"Air New Zealand","8"
3184666,136,"Not sure",NA
3184653,148,"Virgin/Virgin Blue/Pacific Blue","5"
3184636,135,"Air New Zealand","5"
3184618,144,"Air New Zealand","Excellent  10"
3184663,150,"Not sure",NA
3184662,132,"Virgin/Virgin Blue/Pacific Blue","8"
3184640,129,"Not sure",NA
3184660,150,"Air New Zealand","Excellent  10"
3184645,139,"Virgin/Virgin Blue/Pacific Blue","7"
3184685,148,"Cathay Pacific","8"
3184624,124,"Not sure",NA
3184634,134,"JetStar","9"
3184668,142,"JetStar","8"
3184665,133,"Air New Zealand","8"
3184685,146,"Malaysian Airlines","7"
3184683,150,"JetStar","4"
3184632,125,"JetStar","Excellent  10"
3184664,125,"JetStar","7"
3184722,117,"Emirates","7"
3184661,112,"Air New Zealand","8"
3184697,140,"Emirates","Excellent  10"
3184632,124,"Air New Zealand","Excellent  10"
3184702,133,"Air New Zealand","9"
3184660,151,"JetStar","7"
3184722,116,"Air New Zealand","8"
3184671,142,"Air New Zealand","Excellent  10"
3184748,137,"Air New Zealand","6"
3184675,109,"Air New Zealand","Excellent  10"
3184632,127,"Korean Air","Excellent  10"
3184721,139,"Cathay Pacific","9"
3184653,147,"Qantas","9"
3184634,135,"Virgin/Virgin Blue/Pacific Blue","8"
3184628,146,"Qantas","7"
3184632,126,"Qantas","4"
3184682,132,"Singapore Airlines","7"
3184615,151,"Emirates","8"
3184722,118,"British Airways","8"
3184647,142,"JetStar","6"
3184697,139,"Air New Zealand","5"
3184690,134,"Not sure",NA
3184667,135,"Virgin/Virgin Blue/Pacific Blue","8"
3184713,155,"JetStar","9"
3184748,138,"JetStar","9"
3184760,130,"Air New Zealand","7"
3184721,138,"Air New Zealand","9"
3184767,133,"Air New Zealand","9"
3184751,127,"Air New Zealand","Excellent  10"
3184795,153,"Air New Zealand","9"
3184772,141,"Air New Zealand","8"
3184673,153,"Qantas","9"
3184677,136,"Not sure",NA
3184748,139,"Virgin/Virgin Blue/Pacific Blue","7"
3184685,147,"Qantas","7"
3184760,131,"Qantas","6"
3184648,140,"Not sure",NA
3184693,148,"Qantas","7"
3184668,143,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3184652,147,"Not sure",NA
3184702,134,"Qantas","8"
3184713,156,"Qantas","7"
3184780,135,"Not sure",NA
3184796,122,"Cathay Pacific","8"
3184743,156,"JetStar","5"
3184784,141,"JetStar","Excellent  10"
3184708,143,"Air New Zealand","7"
3184747,138,"Emirates","9"
3184784,142,"Emirates","Excellent  10"
3184708,144,"Emirates","7"
3184703,137,"Emirates","6"
3184696,143,"JetStar","7"
3184796,121,"Air New Zealand","7"
3184795,155,"Virgin/Virgin Blue/Pacific Blue","7"
3184700,142,"Not sure",NA
3184788,128,"Singapore Airlines","Excellent  10"
3184699,141,"Virgin/Virgin Blue/Pacific Blue","5"
3184691,138,"Not sure",NA
3184795,154,"Qantas","Excellent  10"
3184695,144,"Virgin/Virgin Blue/Pacific Blue","6"
3184703,136,"Qantas","9"
3184707,142,"Not sure",NA
3184788,130,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3184729,140,"Emirates","8"
3184728,142,"Emirates","7"
3184811,129,"Emirates","Excellent  10"
3184815,115,"Malaysian Airlines","5"
3184811,128,"Qantas","9"
3184800,155,"Not sure",NA
3184715,151,"Qantas","8"
3184727,151,"Qantas","8"
3184733,115,"Virgin/Virgin Blue/Pacific Blue","9"
3184808,134,"Not sure",NA
3184753,153,"Singapore Airlines","6"
3184712,136,"Qantas","9"
3184799,142,"Not sure",NA
3184727,152,"Virgin/Virgin Blue/Pacific Blue","5"
3184815,116,"Qantas","7"
3184730,147,"Singapore Airlines","Excellent  10"
3184753,154,"Qantas","5"
3184792,140,"JetStar","5"
3184863,152,"JetStar","7"
3184788,129,"JetStar","8"
3184693,149,"Emirates","9"
3184753,152,"Air New Zealand","9"
3184728,143,"Another airline",NA
3184831,135,"Air New Zealand","9"
3184812,124,"Air New Zealand","8"
