"SurveyResponseID","AnswerNumber","CycleOwnership"
3184618,72,"Take your own bike to NZ"
3184663,74,"Take your own bike to NZ"
3184683,72,"Take your own bike to NZ"
3184694,67,"Take your own bike to NZ"
3186021,65,"Take your own bike to NZ"
3338388,67,"Take your own bike to NZ"
3338491,69,"Take your own bike to NZ"
3338495,79,"Take your own bike to NZ"
3338468,72,"Take your own bike to NZ"
3338575,73,"Take your own bike to NZ"
3338962,73,"Take your own bike to NZ"
3338965,78,"Take your own bike to NZ"
3462214,69,"Take your own bike to NZ"
3462222,78,"Take your own bike to NZ"
3462223,72,"Take your own bike to NZ"
3462229,66,"Take your own bike to NZ"
3462404,53,"Take your own bike to NZ"
3462445,100,"Take your own bike to NZ"
3463058,129,"Take your own bike to NZ"
3463113,71,"Take your own bike to NZ"
3463277,57,"Take your own bike to NZ"
3465932,64,"Take your own bike to NZ"
3466044,74,"Take your own bike to NZ"
3466133,85,"Take your own bike to NZ"
3470966,77,"Take your own bike to NZ"
3470972,78,"Take your own bike to NZ"
3470996,84,"Take your own bike to NZ"
3471057,82,"Take your own bike to NZ"
3471056,82,"Take your own bike to NZ"
3471067,81,"Take your own bike to NZ"
3471085,68,"Take your own bike to NZ"
3471146,68,"Take your own bike to NZ"
3471147,54,"Take your own bike to NZ"
3471174,66,"Take your own bike to NZ"
3471177,75,"Take your own bike to NZ"
3471198,84,"Take your own bike to NZ"
3471199,78,"Take your own bike to NZ"
3471229,86,"Take your own bike to NZ"
3471209,69,"Take your own bike to NZ"
3471282,61,"Take your own bike to NZ"
3471320,60,"Take your own bike to NZ"
3497248,70,"Take your own bike to NZ"
3497254,64,"Take your own bike to NZ"
3497278,81,"Take your own bike to NZ"
3497295,82,"Take your own bike to NZ"
3497520,77,"Take your own bike to NZ"
3497532,63,"Take your own bike to NZ"
3497551,61,"Take your own bike to NZ"
3497564,67,"Take your own bike to NZ"
3497612,69,"Take your own bike to NZ"
3497702,77,"Take your own bike to NZ"
3497711,67,"Take your own bike to NZ"
3497712,69,"Take your own bike to NZ"
3497624,72,"Take your own bike to NZ"
3497647,68,"Take your own bike to NZ"
3497771,74,"Take your own bike to NZ"
3497803,78,"Take your own bike to NZ"
3497808,72,"Take your own bike to NZ"
3502426,119,"Take your own bike to NZ"
3502467,57,"Take your own bike to NZ"
3503242,69,"Take your own bike to NZ"
3503356,56,"Take your own bike to NZ"
3503530,64,"Take your own bike to NZ"
3503531,59,"Take your own bike to NZ"
3503594,66,"Take your own bike to NZ"
3503754,73,"Take your own bike to NZ"
3523018,97,"Take your own bike to NZ"
3523208,72,"Take your own bike to NZ"
3523665,65,"Take your own bike to NZ"
3523185,68,"Take your own bike to NZ"
3523191,78,"Take your own bike to NZ"
3524786,91,"Take your own bike to NZ"
3184753,75,"Take your own bike to NZ"
3184757,81,"Take your own bike to NZ"
3184764,63,"Take your own bike to NZ"
3184779,62,"Take your own bike to NZ"
3184834,73,"Take your own bike to NZ"
3184809,60,"Take your own bike to NZ"
3184869,78,"Take your own bike to NZ"
3184911,60,"Take your own bike to NZ"
3184935,71,"Take your own bike to NZ"
3184937,67,"Take your own bike to NZ"
3184881,70,"Take your own bike to NZ"
3184981,63,"Take your own bike to NZ"
3184979,61,"Take your own bike to NZ"
3185013,76,"Take your own bike to NZ"
3185087,70,"Take your own bike to NZ"
3185073,74,"Take your own bike to NZ"
3185106,57,"Take your own bike to NZ"
3185108,72,"Take your own bike to NZ"
3185121,78,"Take your own bike to NZ"
3185129,64,"Take your own bike to NZ"
3185172,74,"Take your own bike to NZ"
3185233,62,"Take your own bike to NZ"
3185243,68,"Take your own bike to NZ"
3185272,61,"Take your own bike to NZ"
3185285,60,"Take your own bike to NZ"
3185286,62,"Take your own bike to NZ"
3185297,69,"Take your own bike to NZ"
3185295,72,"Take your own bike to NZ"
3185333,74,"Take your own bike to NZ"
3185369,73,"Take your own bike to NZ"
3185391,74,"Take your own bike to NZ"
3185411,77,"Take your own bike to NZ"
3185429,65,"Take your own bike to NZ"
3185449,55,"Take your own bike to NZ"
3185430,73,"Take your own bike to NZ"
3185432,77,"Take your own bike to NZ"
3185486,77,"Take your own bike to NZ"
3185505,72,"Take your own bike to NZ"
3185535,74,"Take your own bike to NZ"
3185546,79,"Take your own bike to NZ"
3185563,68,"Take your own bike to NZ"
3185564,76,"Take your own bike to NZ"
3185598,67,"Take your own bike to NZ"
3185604,65,"Take your own bike to NZ"
3185636,64,"Take your own bike to NZ"
3185639,63,"Take your own bike to NZ"
3185669,80,"Take your own bike to NZ"
3185680,84,"Take your own bike to NZ"
3185750,63,"Take your own bike to NZ"
3185753,63,"Take your own bike to NZ"
3185687,68,"Take your own bike to NZ"
3185794,67,"Take your own bike to NZ"
3185795,69,"Take your own bike to NZ"
3185797,69,"Take your own bike to NZ"
3185812,56,"Take your own bike to NZ"
3185843,71,"Take your own bike to NZ"
3185866,75,"Take your own bike to NZ"
3185877,74,"Take your own bike to NZ"
3185879,61,"Take your own bike to NZ"
3185914,67,"Take your own bike to NZ"
3185920,74,"Take your own bike to NZ"
3185945,62,"Take your own bike to NZ"
3185983,74,"Take your own bike to NZ"
3185991,70,"Take your own bike to NZ"
3185992,86,"Take your own bike to NZ"
3185978,70,"Take your own bike to NZ"
3186064,79,"Take your own bike to NZ"
3186148,57,"Take your own bike to NZ"
3186164,70,"Take your own bike to NZ"
3186186,70,"Take your own bike to NZ"
3186195,62,"Take your own bike to NZ"
3186202,77,"Take your own bike to NZ"
3186729,106,"Take your own bike to NZ"
3186830,57,"Take your own bike to NZ"
3186863,72,"Take your own bike to NZ"
3186897,84,"Take your own bike to NZ"
3186932,76,"Take your own bike to NZ"
3186962,76,"Take your own bike to NZ"
3186952,61,"Take your own bike to NZ"
3186986,77,"Take your own bike to NZ"
3186994,74,"Take your own bike to NZ"
3187012,61,"Take your own bike to NZ"
3187039,60,"Take your own bike to NZ"
3187081,62,"Take your own bike to NZ"
3187096,68,"Take your own bike to NZ"
3187106,77,"Take your own bike to NZ"
3187145,62,"Take your own bike to NZ"
3187127,69,"Take your own bike to NZ"
3187193,71,"Take your own bike to NZ"
3187199,68,"Take your own bike to NZ"
3187208,65,"Take your own bike to NZ"
3187265,68,"Take your own bike to NZ"
3187278,66,"Take your own bike to NZ"
3187285,63,"Take your own bike to NZ"
3187306,71,"Take your own bike to NZ"
3187337,70,"Take your own bike to NZ"
3187349,62,"Take your own bike to NZ"
3187409,68,"Take your own bike to NZ"
3187426,72,"Take your own bike to NZ"
3187435,65,"Take your own bike to NZ"
3187397,63,"Take your own bike to NZ"
3187516,76,"Take your own bike to NZ"
3187503,71,"Take your own bike to NZ"
3187545,60,"Take your own bike to NZ"
3187546,73,"Take your own bike to NZ"
3187566,78,"Take your own bike to NZ"
3187584,75,"Take your own bike to NZ"
