"SurveyResponseID","AnswerNumber","WebsiteForPlanning","WebsiteForBooking","UsefulnessRating"
3184610,108,"Online travel blogs",NA,"9"
3184610,108,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3184610,106,"Travel agents in your home country over the phone",NA,"6"
3184610,107,"Travel agents in your home country via the internet",NA,"6"
3184610,107,"Travel agents in your home country via the internet",NA,"6"
3184610,106,"Friends, family and colleagues",NA,"6"
3184624,106,"Friends, family and colleagues",NA,"9"
3184624,109,"Travel guides/books about New Zealand",NA,"8"
3184624,108,"www.lonleyplanet.com",NA,"9"
3184624,108,"www.lonleyplanet.com",NA,"8"
3184624,107,"www.wotif.com",NA,""
3184625,110,"Airline websites","Airline websites","7"
3184625,112,"Travel guides/books about New Zealand",NA,"Very Useful10"
3184625,112,"Travel guides/books about New Zealand",NA,"Very Useful10"
3184625,111,"www.i-SITE.org.nz",NA,"7"
3184625,111,"Travel agents in your home country in person",NA,"7"
3184640,112,"Travel guides/books about New Zealand",NA,"8"
3184640,111,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3184642,104,"Travel agents in your home country via the internet",NA,"9"
3184660,124,"www.newzealand.com",NA,"Very Useful10"
3184675,90,"Other publications e.g. magazines",NA,"Not Sure"
3184675,91,"Another source",NA,"Another source"
3184677,111,"Travel guides/books about New Zealand",NA,"8"
3184677,110,"www.lonleyplanet.com",NA,"8"
3184691,117,"Travel agents in your home country over the phone",NA,"5"
3184691,117,"Airline websites",NA,"5"
3184691,118,"Online travel blogs",NA,"6"
3184693,123,"www.lonleyplanet.com",NA,"Not Sure"
3184693,124,"Travel guides/books about New Zealand",NA,"7"
3184693,122,"Friends, family and colleagues",NA,"7"
3184707,119,"Online travel blogs",NA,"9"
3184707,118,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3184708,116,"www.lonleyplanet.com",NA,"6"
3184708,114,"Airline websites","Airline websites","8"
3184708,114,"Airline websites","Airline websites","8"
3184708,114,"Friends, family and colleagues",NA,"8"
3184708,115,"Travel agents in your home country in person","Travel agents in your home country in person","8"
3184708,115,"Travel agents in your home country in person","Travel agents in your home country in person","6"
3184724,121,"Travel agents in your home country in person",NA,"Very Useful10"
3184724,120,"Airline websites","Airline websites","8"
3184724,122,"Online travel blogs",NA,"3"
3184724,122,"Online travel blogs",NA,"Very Useful10"
3184724,121,"www.newzealand.com",NA,"Very Useful10"
3184727,123,"www.newzealand.com",NA,"8"
3184727,123,"www.newzealand.com",NA,"8"
3184727,121,"Airline websites",NA,"8"
3184727,122,"Travel agents in your home country in person",NA,"7"
3184727,121,"Friends, family and colleagues",NA,"8"
3184742,118,"www.newzealand.com",NA,"6"
3184742,118,"Another social networking website",NA,"6"
3184743,123,"www.tripadvisor.com",NA,"6"
3184743,123,"www.newzealand.com",NA,"6"
3184743,124,"Travel guides/books about New Zealand",NA,"7"
3184743,124,"Travel guides/books about New Zealand",NA,"Very Useful10"
3184743,122,"Travel agents in your home country in person",NA,"7"
3184760,110,"www.newzealand.com",NA,"8"
3184774,115,"www.newzealand.com",NA,"7"
3184774,115,"www.newzealand.com",NA,"Very Useful10"
3184774,114,"www.tripadvisor.com",NA,""
3184774,116,"Travel guides/books about New Zealand",NA,"Very Useful10"
3184792,121,"www.wotif.com",NA,"Very Useful10"
3184793,126,"www.wotif.com",NA,"8"
3184793,127,"Travel guides/books about New Zealand",NA,"9"
3184794,123,"Travel agents in your home country over the phone",NA,"5"
3184794,125,"Online travel blogs",NA,"9"
3184794,124,"Facebook",NA,"8"
3184794,124,"Facebook",NA,"5"
3184794,123,"Travel agents in your home country in person",NA,"5"
3184794,122,"Friends, family and colleagues",NA,"8"
3184808,111,"Travel guides/books about New Zealand",NA,"Not Sure"
3184809,110,"None of these",NA,"None of these"
3184811,106,"www.wotif.com",NA,"9"
3184824,124,"www.newzealand.com",NA,"9"
3184824,123,"Friends, family and colleagues","Friends, family and colleagues","9"
3184858,107,"Friends, family and colleagues",NA,"Very Useful10"
3184858,110,"Another source",NA,"Very Useful10"
3184858,108,"www.newzealand.com",NA,"8"
3184858,109,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","8"
3184858,110,"Travel guides/books about New Zealand",NA,"Very Useful10"
3184861,117,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","7"
3184861,117,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","9"
3184861,117,"www.tripadvisor.com",NA,"7"
3184861,116,"Airline websites","Airline websites","6"
3184861,118,"Other publications e.g. magazines",NA,"9"
3184874,112,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3184874,112,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3184874,111,"www.newzealand.com",NA,""
3184874,113,"Travel guides/books about New Zealand",NA,"9"
3184875,125,"Another social networking website",NA,""
3184875,126,"Other publications e.g. magazines",NA,"8"
3184875,126,"Other publications e.g. magazines",NA,"8"
