"SurveyResponseID","AnswerNumber","AmenityType","EnvPracticeRating"
3184625,143,"Public infrastructure","Ahead of most other places"
3184629,187,"Visitor transport","Ahead of most other places"
3184616,153,"Public infrastructure","Amongst the best in the world"
3184629,189,"Overall environmental management","Ahead of most other places"
3184625,142,"Visitor transport","Ahead of most other places"
3184611,144,"Public infrastructure","Ahead of most other places"
3184616,152,"Visitor transport","Ahead of most other places"
3184611,145,"Overall environmental management","Amongst the best in the world"
3184620,164,"Public infrastructure","Ahead of most other places"
3184620,163,"Visitor transport","About average"
3184615,164,"Visitor transport","About average"
3184606,163,"Public infrastructure","Amongst the best in the world"
3184625,144,"Overall environmental management","Amongst the best in the world"
3184629,188,"Public infrastructure","Don't know"
3184616,154,"Overall environmental management","Ahead of most other places"
3184611,143,"Visitor transport","About average"
3184606,162,"Visitor transport","About average"
3184637,138,"Visitor transport","About average"
3184624,136,"Visitor transport","Amongst the best in the world"
3184615,165,"Public infrastructure","Ahead of most other places"
3184624,137,"Public infrastructure","Don't know"
3184616,151,"Activity and attractions","Amongst the best in the world"
3184624,138,"Overall environmental management","Ahead of most other places"
3184637,140,"Overall environmental management","Ahead of most other places"
3184611,142,"Activity and attractions","Ahead of most other places"
3184637,137,"Activity and attractions","Don't know"
3184625,141,"Activity and attractions","About average"
3184620,165,"Overall environmental management","Ahead of most other places"
3184606,164,"Overall environmental management","Amongst the best in the world"
3184637,139,"Public infrastructure","Behind most other places"
3184629,186,"Activity and attractions","About average"
3184620,162,"Activity and attractions","Amongst the best in the world"
3184606,161,"Activity and attractions","About average"
3184615,163,"Activity and attractions","About average"
3184625,140,"Commercial accommodation","Ahead of most other places"
3184620,161,"Commercial accommodation","About average"
3184629,185,"Commercial accommodation","About average"
3184606,160,"Commercial accommodation","About average"
3184615,162,"Commercial accommodation","Don't know"
3184645,150,"Commercial accommodation","Don't know"
3184628,158,"Activity and attractions","Amongst the best in the world"
3184649,165,"Activity and attractions","Amongst the best in the world"
3184623,154,"Activity and attractions","Ahead of most other places"
3184619,161,"Commercial accommodation","Ahead of most other places"
3184645,153,"Public infrastructure","About average"
3184610,145,"Commercial accommodation","Ahead of most other places"
3184619,164,"Public infrastructure","About average"
3184615,166,"Overall environmental management","About average"
3184645,151,"Activity and attractions","Ahead of most other places"
3184624,134,"Commercial accommodation","Behind most other places"
3184619,163,"Visitor transport","Amongst the best in the world"
3184624,135,"Activity and attractions","Don't know"
3184610,146,"Activity and attractions","Amongst the best in the world"
3184632,139,"Commercial accommodation","Don't know"
3184616,150,"Commercial accommodation","Ahead of most other places"
3184645,152,"Visitor transport","Ahead of most other places"
3184611,141,"Commercial accommodation","Ahead of most other places"
3184637,136,"Commercial accommodation","Ahead of most other places"
3184619,162,"Activity and attractions","Ahead of most other places"
3184628,159,"Visitor transport","About average"
3184628,157,"Commercial accommodation","Ahead of most other places"
3184632,140,"Activity and attractions","Ahead of most other places"
3184645,154,"Overall environmental management","About average"
3184619,165,"Overall environmental management","Ahead of most other places"
3184628,160,"Public infrastructure","Ahead of most other places"
3184649,164,"Commercial accommodation","Ahead of most other places"
3184623,153,"Commercial accommodation","About average"
3184653,160,"Activity and attractions","Amongst the best in the world"
3184632,142,"Public infrastructure","Ahead of most other places"
3184649,167,"Public infrastructure","Ahead of most other places"
3184610,149,"Overall environmental management","Amongst the best in the world"
3184623,156,"Public infrastructure","Behind most other places"
3184618,157,"Activity and attractions","About average"
3184622,160,"Activity and attractions","About average"
3184653,159,"Commercial accommodation","About average"
3184614,136,"Activity and attractions","About average"
3184610,147,"Visitor transport","Ahead of most other places"
3184636,148,"Activity and attractions","Ahead of most other places"
3184614,139,"Overall environmental management","Amongst the best in the world"
3184623,155,"Visitor transport","Ahead of most other places"
3184661,123,"Commercial accommodation","Ahead of most other places"
3184649,166,"Visitor transport","About average"
3184632,143,"Overall environmental management","Amongst the best in the world"
3184614,137,"Visitor transport","About average"
3184653,162,"Public infrastructure","About average"
3184665,145,"Activity and attractions","Ahead of most other places"
3184618,156,"Commercial accommodation","Ahead of most other places"
3184628,161,"Overall environmental management","Amongst the best in the world"
3184632,141,"Visitor transport","About average"
3184614,135,"Commercial accommodation","Ahead of most other places"
3184610,148,"Public infrastructure","Ahead of most other places"
3184649,168,"Overall environmental management","Ahead of most other places"
3184614,138,"Public infrastructure","About average"
3184661,124,"Activity and attractions","Amongst the best in the world"
3184653,161,"Visitor transport","Don't know"
3184623,157,"Overall environmental management","About average"
3184665,144,"Commercial accommodation","Amongst the best in the world"
3184618,159,"Public infrastructure","About average"
3184622,159,"Commercial accommodation","Ahead of most other places"
3184636,147,"Commercial accommodation","Don't know"
3184639,143,"Commercial accommodation","Ahead of most other places"
3184639,144,"Activity and attractions","Ahead of most other places"
3184661,125,"Visitor transport","Ahead of most other places"
3184618,158,"Visitor transport","About average"
3184618,160,"Overall environmental management","Don't know"
3184636,149,"Visitor transport","About average"
3184653,163,"Overall environmental management","Ahead of most other places"
3184661,126,"Public infrastructure","Ahead of most other places"
3184622,163,"Overall environmental management","Ahead of most other places"
3184622,161,"Visitor transport","Ahead of most other places"
3184639,147,"Overall environmental management","Amongst the best in the world"
3184647,154,"Commercial accommodation","About average"
3184639,145,"Visitor transport","Amongst the worst in the world"
3184665,148,"Overall environmental management","Ahead of most other places"
3184639,146,"Public infrastructure","Don't know"
3184661,127,"Overall environmental management","Ahead of most other places"
3184673,164,"Commercial accommodation","About average"
3184636,151,"Overall environmental management","Ahead of most other places"
3184651,147,"Commercial accommodation","About average"
3184677,146,"Commercial accommodation","Amongst the best in the world"
3184665,147,"Public infrastructure","Ahead of most other places"
3184673,165,"Activity and attractions","Don't know"
3184640,139,"Commercial accommodation","Ahead of most other places"
3184648,150,"Commercial accommodation","Behind most other places"
3184647,155,"Activity and attractions","Ahead of most other places"
3184634,146,"Commercial accommodation","Don't know"
3184640,140,"Activity and attractions","Don't know"
3184640,142,"Public infrastructure","About average"
3184651,148,"Activity and attractions","Amongst the best in the world"
3184634,149,"Public infrastructure","Ahead of most other places"
3184673,166,"Visitor transport","About average"
3184636,150,"Public infrastructure","Ahead of most other places"
3184651,149,"Visitor transport","About average"
3184647,158,"Overall environmental management","Ahead of most other places"
3184640,143,"Overall environmental management","Ahead of most other places"
3184665,146,"Visitor transport","Amongst the best in the world"
3184622,162,"Public infrastructure","About average"
3184647,156,"Visitor transport","About average"
3184677,147,"Activity and attractions","Ahead of most other places"
3184648,151,"Activity and attractions","Ahead of most other places"
3184638,146,"Commercial accommodation","Ahead of most other places"
3184673,167,"Public infrastructure","Ahead of most other places"
3184634,147,"Activity and attractions","About average"
3184647,157,"Public infrastructure","Ahead of most other places"
3184640,141,"Visitor transport","About average"
3184673,168,"Overall environmental management","Ahead of most other places"
3184663,160,"Commercial accommodation","Don't know"
3184634,150,"Overall environmental management","Ahead of most other places"
3184648,154,"Overall environmental management","Ahead of most other places"
3184677,150,"Overall environmental management","Amongst the best in the world"
3184652,158,"Commercial accommodation","About average"
3184634,148,"Visitor transport","Amongst the best in the world"
3184648,152,"Visitor transport","About average"
3184663,162,"Visitor transport","About average"
3184638,147,"Activity and attractions","Ahead of most other places"
3184685,161,"Visitor transport","About average"
3184651,151,"Overall environmental management","About average"
3184693,160,"Commercial accommodation","Don't know"
3184677,149,"Public infrastructure","Amongst the best in the world"
3184685,159,"Commercial accommodation","About average"
3184648,153,"Public infrastructure","Behind most other places"
3184652,159,"Activity and attractions","Don't know"
3184660,164,"Activity and attractions","About average"
3184685,162,"Public infrastructure","Ahead of most other places"
3184663,163,"Public infrastructure","About average"
3184667,146,"Commercial accommodation","Ahead of most other places"
3184651,150,"Public infrastructure","Ahead of most other places"
3184677,148,"Visitor transport","Behind most other places"
3184663,161,"Activity and attractions","Ahead of most other places"
3184685,160,"Activity and attractions","About average"
3184693,161,"Activity and attractions","About average"
3184667,147,"Activity and attractions","About average"
3184660,163,"Commercial accommodation","Ahead of most other places"
3184685,163,"Overall environmental management","Amongst the best in the world"
3184652,161,"Public infrastructure","Ahead of most other places"
3184663,164,"Overall environmental management","Ahead of most other places"
3184652,162,"Overall environmental management","Don't know"
3184652,160,"Visitor transport","About average"
3184693,164,"Overall environmental management","Amongst the best in the world"
3184667,148,"Visitor transport","Don't know"
3184664,137,"Activity and attractions","Amongst the best in the world"
3184660,165,"Visitor transport","Ahead of most other places"
3184638,148,"Visitor transport","Ahead of most other places"
3184642,132,"Commercial accommodation","Ahead of most other places"
3184693,162,"Visitor transport","Don't know"
3184660,167,"Overall environmental management","About average"
3184697,153,"Visitor transport","Behind most other places"
3184667,149,"Public infrastructure","Ahead of most other places"
3184642,133,"Activity and attractions","Amongst the best in the world"
3184642,135,"Public infrastructure","Amongst the best in the world"
3184660,166,"Public infrastructure","Amongst the best in the world"
3184671,155,"Visitor transport","Amongst the best in the world"
3184693,163,"Public infrastructure","Amongst the best in the world"
3184662,147,"Activity and attractions","About average"
3184697,152,"Activity and attractions","Ahead of most other places"
3184697,151,"Commercial accommodation","Amongst the best in the world"
3184671,153,"Commercial accommodation","About average"
3184638,150,"Overall environmental management","Amongst the best in the world"
3184638,149,"Public infrastructure","Amongst the best in the world"
3184664,136,"Commercial accommodation","Ahead of most other places"
3184664,139,"Public infrastructure","Amongst the best in the world"
3184667,150,"Overall environmental management","Behind most other places"
3184671,154,"Activity and attractions","Behind most other places"
3184668,154,"Commercial accommodation","About average"
3184642,134,"Visitor transport","Ahead of most other places"
3184664,138,"Visitor transport","About average"
3184642,136,"Overall environmental management","Ahead of most other places"
3184675,121,"Activity and attractions","Ahead of most other places"
3184662,148,"Visitor transport","About average"
3184664,140,"Overall environmental management","Amongst the best in the world"
3184675,122,"Visitor transport","Ahead of most other places"
3184662,150,"Overall environmental management","Don't know"
3184668,156,"Visitor transport","Don't know"
3184713,168,"Commercial accommodation","Amongst the best in the world"
3184671,157,"Overall environmental management","Ahead of most other places"
3184697,155,"Overall environmental management","Don't know"
3184662,149,"Public infrastructure","About average"
3184721,150,"Commercial accommodation","Amongst the best in the world"
3184666,148,"Visitor transport","Ahead of most other places"
3184662,146,"Commercial accommodation","About average"
3184683,162,"Commercial accommodation","Don't know"
3184668,157,"Public infrastructure","About average"
3184675,120,"Commercial accommodation","About average"
3184675,124,"Overall environmental management","Ahead of most other places"
3184666,146,"Commercial accommodation","Ahead of most other places"
3184713,171,"Public infrastructure","Ahead of most other places"
3184671,156,"Public infrastructure","Behind most other places"
3184697,154,"Public infrastructure","Don't know"
3184675,123,"Public infrastructure","Ahead of most other places"
3184713,170,"Visitor transport","Ahead of most other places"
3184668,158,"Overall environmental management","Ahead of most other places"
3184666,149,"Public infrastructure","Ahead of most other places"
3184729,151,"Commercial accommodation","Ahead of most other places"
3184668,155,"Activity and attractions","Don't know"
3184691,148,"Commercial accommodation","Behind most other places"
3184721,152,"Visitor transport","Ahead of most other places"
3184696,154,"Commercial accommodation","About average"
3184713,172,"Overall environmental management","Ahead of most other places"
3184713,169,"Activity and attractions","Ahead of most other places"
3184666,147,"Activity and attractions","About average"
3184683,165,"Public infrastructure","Amongst the best in the world"
3184721,151,"Activity and attractions","Ahead of most other places"
3184721,154,"Overall environmental management","Amongst the best in the world"
3184729,153,"Visitor transport","About average"
3184683,163,"Activity and attractions","About average"
3184721,153,"Public infrastructure","Ahead of most other places"
3184691,149,"Activity and attractions","Ahead of most other places"
3184696,156,"Visitor transport","Ahead of most other places"
3184683,164,"Visitor transport","About average"
3184729,152,"Activity and attractions","About average"
3184696,155,"Activity and attractions","Ahead of most other places"
3184691,150,"Visitor transport","Don't know"
3184696,158,"Overall environmental management","Amongst the best in the world"
3184729,155,"Overall environmental management","Amongst the best in the world"
3184700,154,"Visitor transport","About average"
3184682,147,"Public infrastructure","Ahead of most other places"
3184682,148,"Overall environmental management","Ahead of most other places"
3184729,154,"Public infrastructure","About average"
3184690,147,"Visitor transport","About average"
3184683,166,"Overall environmental management","Amongst the best in the world"
3184743,175,"Overall environmental management","Ahead of most other places"
3184690,149,"Overall environmental management","Don't know"
3184691,151,"Public infrastructure","About average"
3184691,152,"Overall environmental management","Don't know"
3184700,155,"Public infrastructure","Don't know"
3184708,159,"Overall environmental management","About average"
3184682,146,"Visitor transport","Ahead of most other places"
3184702,154,"Public infrastructure","Ahead of most other places"
3184743,174,"Public infrastructure","About average"
3184712,149,"Visitor transport","About average"
3184708,157,"Visitor transport","About average"
3184695,158,"Visitor transport","Ahead of most other places"
3184702,153,"Visitor transport","Ahead of most other places"
3184700,152,"Commercial accommodation","Ahead of most other places"
3184696,157,"Public infrastructure","Amongst the best in the world"
3184747,152,"Public infrastructure","About average"
3184666,150,"Overall environmental management","Ahead of most other places"
3184700,156,"Overall environmental management","Ahead of most other places"
3184743,173,"Visitor transport","Don't know"
3184690,148,"Public infrastructure","Don't know"
3184695,156,"Commercial accommodation","About average"
3184702,151,"Commercial accommodation","Ahead of most other places"
3184747,151,"Visitor transport","About average"
3184708,158,"Public infrastructure","About average"
3184743,171,"Commercial accommodation","Amongst the best in the world"
3184690,145,"Commercial accommodation","Don't know"
3184702,155,"Overall environmental management","Ahead of most other places"
3184695,160,"Overall environmental management","Ahead of most other places"
3184712,150,"Public infrastructure","Amongst the best in the world"
3184747,153,"Overall environmental management","Amongst the best in the world"
3184751,138,"Commercial accommodation","About average"
3184724,156,"Commercial accommodation","About average"
3184695,159,"Public infrastructure","About average"
3184682,144,"Commercial accommodation","Ahead of most other places"
3184708,155,"Commercial accommodation","Amongst the best in the world"
3184712,147,"Commercial accommodation","About average"
3184747,149,"Commercial accommodation","Ahead of most other places"
3184712,151,"Overall environmental management","Amongst the best in the world"
3184722,129,"Commercial accommodation","Amongst the best in the world"
3184699,152,"Commercial accommodation","About average"
3184743,172,"Activity and attractions","Ahead of most other places"
3184682,145,"Activity and attractions","Ahead of most other places"
3184708,156,"Activity and attractions","Ahead of most other places"
3184690,146,"Activity and attractions","About average"
3184712,148,"Activity and attractions","Ahead of most other places"
3184751,139,"Activity and attractions","Ahead of most other places"
3184700,153,"Activity and attractions","Behind most other places"
3184747,150,"Activity and attractions","About average"
3184702,152,"Activity and attractions","Don't know"
3184724,157,"Activity and attractions","About average"
3184695,157,"Activity and attractions","Ahead of most other places"
3184728,153,"Commercial accommodation","Ahead of most other places"
3184699,153,"Activity and attractions","Behind most other places"
3184703,155,"Activity and attractions","Ahead of most other places"
3184728,154,"Activity and attractions","Amongst the best in the world"
3184703,154,"Commercial accommodation","Amongst the best in the world"
3184722,130,"Activity and attractions","Ahead of most other places"
3184767,145,"Activity and attractions","About average"
3184767,144,"Commercial accommodation","About average"
3184699,154,"Visitor transport","Behind most other places"
3184724,158,"Visitor transport","Amongst the best in the world"
3184699,156,"Overall environmental management","Ahead of most other places"
3184751,140,"Visitor transport","Don't know"
3184724,159,"Public infrastructure","Amongst the best in the world"
3184699,155,"Public infrastructure","Ahead of most other places"
