"SurveyResponseID","AnswerNumber","HobbitExpType"
3184632,150,"Group tour specifically organised for Hobbit fans"
3184632,151,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184632,152,"Visited Hobbit Film site(s)"
3184632,153,"Something else"
3184661,134,"Group tour specifically organised for Hobbit fans"
3184661,135,"Something else"
3184662,157,"Group tour specifically organised for Hobbit fans"
3184662,158,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184662,159,"Visited Hobbit Film site(s)"
3184662,160,"Something else"
3184693,171,"Group tour specifically organised for Hobbit fans"
3184693,172,"Visited Hobbiton"
3184693,173,"Visited Hobbit Film site(s)"
3184760,153,"Group tour specifically organised for Hobbit fans"
3184760,154,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184760,155,"Visited Hobbiton"
3184772,163,"Group tour specifically organised for Hobbit fans"
3184772,164,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184772,165,"Visited Hobbit Film site(s)"
3184772,166,"Something else"
3184809,153,"Group tour specifically organised for Hobbit fans"
3184809,154,"Visited Hobbiton"
3184809,155,"Something else"
3184824,175,"Group tour specifically organised for Hobbit fans"
3184824,176,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184824,177,"Visited Hobbit Film site(s)"
3184824,178,"Something else"
3184832,179,"Group tour specifically organised for Hobbit fans"
3184832,180,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184832,181,"Visited Hobbiton"
3184832,182,"Visited Hobbit Film site(s)"
3184832,183,"Something else"
3184847,169,"Group tour specifically organised for Hobbit fans"
3184847,170,"Visited Hobbit Film site(s)"
3184847,171,"Something else"
3184861,158,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184861,159,"Visited Hobbit Film site(s)"
3184861,160,"Something else"
3184878,162,"Group tour specifically organised for Hobbit fans"
3184878,163,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184878,164,"Visited Hobbiton"
3184878,165,"Visited Hobbit Film site(s)"
3184878,166,"Something else"
3184885,167,"Group tour specifically organised for Hobbit fans"
3184885,168,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184885,169,"Visited Hobbiton"
3184885,170,"Visited Hobbit Film site(s)"
3184885,171,"Something else"
3184894,166,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184894,167,"Visited Hobbiton"
3184894,168,"Visited Hobbit Film site(s)"
3184894,169,"Something else"
3184918,154,"Group tour specifically organised for Hobbit fans"
3184918,155,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184918,156,"Visited Hobbiton"
3184918,157,"Something else"
3184924,159,"Group tour specifically organised for Hobbit fans"
3184924,160,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184924,161,"Visited Hobbit Film site(s)"
3184924,162,"Something else"
3184939,155,"Group tour specifically organised for Hobbit fans"
3184939,156,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184939,157,"Visited Hobbiton"
3184939,158,"Visited Hobbit Film site(s)"
3184939,159,"Something else"
3184951,137,"Group tour specifically organised for Hobbit fans"
3184951,138,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184951,139,"Visited Hobbiton"
3184951,140,"Visited Hobbit Film site(s)"
3184951,141,"Something else"
3184980,145,"Group tour specifically organised for Hobbit fans"
3184980,146,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184980,147,"Visited Hobbiton"
3184980,148,"Something else"
3184987,170,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184987,171,"Visited Hobbit Film site(s)"
3184987,172,"Something else"
3184995,159,"Group tour specifically organised for Hobbit fans"
3184995,160,"Organised local sightseeing tour which included Hobbit Film site(s)"
3184995,161,"Something else"
3185084,160,"Group tour specifically organised for Hobbit fans"
3185084,161,"Organised local sightseeing tour which included Hobbit Film site(s)"
3185084,162,"Visited Hobbiton"
3185084,163,"Visited Hobbit Film site(s)"
3185084,164,"Something else"
3185087,178,"Group tour specifically organised for Hobbit fans"
