"SurveyResponseID","AnswerNumber","HobbitExpType"
3184616,113,"The scenery"
3184616,114,"I wanted to visit Hobbiton"
3184619,128,"The scenery"
3184619,129,"Wanted to see if the scenery was like it was in the film"
3184620,116,"The scenery"
3184620,117,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3184620,118,"Something else"
3184623,112,"The scenery"
3184623,113,"Wanted to see where the film was made"
3184662,106,"The scenery"
3184662,107,"Wanted to see if the scenery was like it was in the film"
3184668,110,"The scenery"
3184668,111,"Wanted to see if the scenery was like it was in the film"
3184668,112,"Wanted to see where the film was made"
3184668,113,"I wanted to visit Hobbiton"
3184671,115,"The scenery"
3184671,116,"Wanted to see if the scenery was like it was in the film"
3184671,117,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3184671,118,"Something else"
3184677,107,"The scenery"
3184702,102,"The scenery"
3184702,103,"Wanted to see where the film was made"
3184702,104,"I wanted to visit Hobbiton"
3184702,105,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3184766,105,"The scenery"
3184766,106,"Wanted to see if the scenery was like it was in the film"
3184766,107,"Wanted to see where the film was made"
3184766,108,"I wanted to visit Hobbiton"
3184766,109,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3184778,114,"The scenery"
3184778,115,"Wanted to see if the scenery was like it was in the film"
3184795,121,"The scenery"
3184795,122,"Wanted to see if the scenery was like it was in the film"
3184795,123,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3184795,124,"Wanted to see where the film was made"
3184799,123,"Wanted to see if the scenery was like it was in the film"
3184799,124,"I wanted to visit Hobbiton"
3184806,127,"The scenery"
3184806,128,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3184806,129,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3184809,107,"The scenery"
3184836,112,"The scenery"
3184840,119,"Wanted to see if the scenery was like it was in the film"
3184840,120,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3184852,133,"The scenery"
3184852,134,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3184852,135,"Wanted to see where the film was made"
3184852,136,"I wanted to visit Hobbiton"
3184878,114,"The scenery"
3184878,115,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3184878,116,"Wanted to see where the film was made"
3184941,123,"Wanted to see if the scenery was like it was in the film"
3184941,124,"Wanted to see where the film was made"
3185000,122,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3185000,123,"Wanted to see where the film was made"
3185019,105,"The scenery"
3185019,106,"Wanted to see if the scenery was like it was in the film"
3185019,107,"Wanted to see where the film was made"
3185056,110,"The scenery"
3185056,111,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3185056,112,"Wanted to see where the film was made"
3185092,109,"Wanted to see if the scenery was like it was in the film"
3185117,117,"Wanted to see where the film was made"
3185117,118,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3185117,119,"Something else"
3185120,129,"The scenery"
3185120,130,"Wanted to see if the scenery was like it was in the film"
3185120,131,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3185120,132,"Wanted to see where the film was made"
3185139,99,"The scenery"
3185139,100,"Something else"
3185144,101,"The scenery"
3185144,102,"Wanted to see where the film was made"
3185162,98,"Wanted to see if the scenery was like it was in the film"
3185162,99,"Wanted to see where the film was made"
3185190,120,"The scenery"
3185199,119,"The scenery"
3185199,120,"Wanted to see where the film was made"
3185199,121,"I wanted to visit Hobbiton"
3185284,123,"The scenery"
3185284,124,"Wanted to see where the film was made"
3185284,125,"I wanted to visit Hobbiton"
3185317,112,"The scenery"
3185317,113,"Wanted to see where the film was made"
3185324,113,"The scenery"
3185370,115,"The scenery"
3185370,116,"Wanted to see where the film was made"
3185370,117,"I wanted to visit Hobbiton"
3185380,126,"The scenery"
3185380,127,"Wanted to see if the scenery was like it was in the film"
3185398,102,"The scenery"
3185398,103,"Wanted to see if the scenery was like it was in the film"
3185398,104,"Wanted to see where the film was made"
3185420,112,"The scenery"
3185420,113,"Wanted to see if the scenery was like it was in the film"
3185420,114,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3185420,115,"I wanted to visit Hobbiton"
3185489,122,"The scenery"
3185489,123,"I wanted to visit Hobbiton"
3185529,102,"The scenery"
3185529,103,"Wanted to see where the film was made"
3185529,104,"Something else"
3185538,108,"The scenery"
3185538,109,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3185538,110,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3185550,108,"The scenery"
3185550,109,"Wanted to see if the scenery was like it was in the film"
3185569,106,"The scenery"
3185569,107,"Wanted to see if the scenery was like it was in the film"
3185569,108,"Wanted to see where the film was made"
3185581,111,"The scenery"
3185581,112,"Wanted to see if the scenery was like it was in the film"
3185581,113,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3185581,114,"Wanted to see where the film was made"
3185592,108,"The scenery"
3185592,109,"Wanted to see where the film was made"
3185632,122,"The scenery"
3185632,123,"Wanted to see if the scenery was like it was in the film"
3185632,124,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3185632,125,"I wanted to visit Hobbiton"
3185632,126,"Something else"
3185633,117,"The scenery"
3185705,109,"The scenery"
3185705,110,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3185705,111,"Wanted to see where the film was made"
3185712,125,"The scenery"
3185712,126,"Wanted to see if the scenery was like it was in the film"
3185716,108,"The scenery"
3185716,109,"Wanted to see if the scenery was like it was in the film"
3185716,110,"Wanted to see where the film was made"
3185724,111,"The scenery"
3185724,112,"Wanted to see if the scenery was like it was in the film"
3185724,113,"Wanted to see where the film was made"
3185736,116,"Wanted to see if the scenery was like it was in the film"
3185742,112,"The scenery"
3185742,113,"Wanted to see where the film was made"
3185757,116,"The scenery"
3185757,117,"Wanted to see if the scenery was like it was in the film"
3185767,99,"The scenery"
3185767,100,"Wanted to see where the film was made"
3185767,101,"I wanted to visit Hobbiton"
