"SurveyResponseID","AnswerNumber","AnswerYN","AmenityType"
3184629,171,"Yes","Accommodation"
3184690,137,"Yes","Accommodation"
3184649,151,"Yes","Accommodation"
3184715,155,"Yes","Accommodation"
3184695,148,"Yes","Accommodation"
3184632,131,"Yes","Accommodation"
3184652,150,"Yes","Accommodation"
3184683,154,"Yes","Accommodation"
3184660,155,"Yes","Accommodation"
3184727,156,"Yes","Accommodation"
3184702,138,"Yes","Transport"
3184746,126,"Yes","Accommodation"
3184715,156,"Yes","Transport"
3184773,155,"Yes","Accommodation"
3184773,156,"Yes","Transport"
3184796,126,"Yes","Accommodation"
3184629,172,"Yes","Activities"
3184830,138,"Yes","Activities"
3184848,164,"Yes","Accommodation"
3184610,131,"Yes","Activities"
3184817,144,"Yes","Activities"
3184778,141,"Yes","Accommodation"
3184830,137,"Yes","Accommodation"
3184850,122,"Yes","Transport"
3184966,148,"Yes","Accommodation"
3184866,131,"Yes","Accommodation"
3184796,127,"Yes","Transport"
3184849,147,"Yes","Accommodation"
3184891,140,"Yes","Accommodation"
3185050,151,"Yes","Accommodation"
3185018,133,"Yes","Activities"
3184959,154,"Yes","Activities"
3184964,128,"Yes","Transport"
3185003,133,"Yes","Accommodation"
3184941,151,"Yes","Accommodation"
3184909,139,"Yes","Accommodation"
3185086,168,"Yes","Accommodation"
3184818,136,"Yes","Activities"
3185025,149,"Yes","Activities"
3185134,138,"Yes","Transport"
3185153,135,"Yes","Accommodation"
3185134,137,"Yes","Accommodation"
3185136,143,"Yes","Accommodation"
3185367,161,"Yes","Activities"
3184794,158,"Yes","Transport"
3185119,145,"Yes","Accommodation"
3185235,168,"Yes","Activities"
3185302,150,"Yes","Activities"
3185334,130,"Yes","Accommodation"
3185370,151,"Yes","Activities"
3185270,125,"Yes","Accommodation"
3185317,142,"Yes","Accommodation"
3185352,125,"Yes","Accommodation"
3185437,135,"Yes","Accommodation"
3185252,143,"Yes","Activities"
3185317,143,"Yes","Activities"
3185044,141,"Yes","Accommodation"
3185352,126,"Yes","Transport"
3185636,142,"Yes","Accommodation"
3185637,150,"Yes","Accommodation"
3185686,142,"Yes","Accommodation"
3185145,143,"Yes","Accommodation"
3185162,130,"Yes","Accommodation"
3185045,141,"Yes","Accommodation"
3185687,146,"Yes","Accommodation"
3185722,155,"Yes","Accommodation"
3185133,120,"Yes","Transport"
3185704,153,"Yes","Accommodation"
3185755,132,"Yes","Accommodation"
3185005,165,"Yes","Transport"
3185785,140,"Yes","Accommodation"
3185769,148,"Yes","Accommodation"
3185803,138,"Yes","Accommodation"
3185819,158,"Yes","Accommodation"
3185872,138,"Yes","Accommodation"
3185704,154,"Yes","Activities"
3185952,142,"Yes","Activities"
3185195,146,"Yes","Accommodation"
3184765,133,"Yes","Activities"
3184815,120,"Yes","Activities"
3185970,145,"Yes","Accommodation"
3186103,158,"Yes","Accommodation"
3186187,151,"Yes","Accommodation"
3185921,134,"Yes","Accommodation"
3185064,140,"Yes","Accommodation"
3186155,144,"Yes","Accommodation"
3185078,125,"Yes","Activities"
3185854,143,"Yes","Activities"
3185971,159,"Yes","Accommodation"
3184947,139,"Yes","Accommodation"
3186003,123,"Yes","Transport"
3184795,159,"Yes","Accommodation"
3186154,125,"Yes","Activities"
3186172,150,"Yes","Activities"
3186189,139,"Yes","Accommodation"
3186190,140,"Yes","Accommodation"
3184820,129,"Yes","Activities"
3186691,169,"No","All"
3186056,159,"Yes","Accommodation"
3184822,152,"Yes","Accommodation"
3184895,138,"Yes","Accommodation"
3186505,191,"Yes","Accommodation"
3185064,141,"Yes","Activities"
3186605,149,"Yes","Activities"
3185005,166,"Yes","Activities"
3186474,141,"No","All"
3185022,144,"Yes","Transport"
3186587,135,"Yes","Accommodation"
3186605,148,"Yes","Accommodation"
3185148,139,"Yes","Accommodation"
3186072,136,"Yes","Activities"
3186757,149,"Yes","Activities"
3185107,139,"Yes","Accommodation"
3185260,155,"Yes","Accommodation"
3185098,140,"Yes","Accommodation"
3185228,124,"Yes","Accommodation"
3187008,145,"Yes","Accommodation"
3185107,140,"Yes","Activities"
3185230,152,"Yes","Activities"
