"SurveyResponseID","AnswerNumber","QualmarkFailedExpn"
3184649,159,"Generally poor standard"
3184649,156,"Poor/old facilities"
3184649,158,"Too expensive"
3184610,136,"Too expensive"
3184610,137,"Poor standard of cleanliness/dirty"
3184620,154,"Poor/old facilities"
3184662,140,"Poor standard of cleanliness/dirty"
3184649,157,"The Qualmark rating was too high"
3184703,145,"Poor/old facilities"
3184703,147,"Too expensive"
3184703,148,"Poor customer service"
3184703,146,"The Qualmark rating was too high"
3184703,150,"Another reason"
3184649,160,"Noisy"
3184610,139,"No air-conditioning/heating inadequate"
3184662,141,"Generally poor standard"
3184662,142,"Poor value for money"
3184703,149,"Generally poor standard"
3184610,138,"Generally poor standard"
3184610,140,"Poor value for money"
3184620,156,"Poor standard of cleanliness/dirty"
3184629,177,"Poor/old facilities"
3184610,141,"Another reason"
3184620,155,"The Qualmark rating was too high"
3184629,178,"The Qualmark rating was too high"
3184620,157,"Noisy"
3184702,146,"No free internet"
3184629,180,"No air-conditioning/heating inadequate"
3184702,147,"Poor value for money"
3184629,179,"Poor standard of cleanliness/dirty"
3184702,143,"Poor/old facilities"
3184702,145,"Poor customer service"
3184702,144,"The Qualmark rating was too high"
3184629,181,"Noisy"
3184773,165,"No free internet"
3184773,166,"No air-conditioning/heating inadequate"
3184773,167,"Poor value for money"
3184773,161,"Poor/old facilities"
3184773,162,"Too expensive"
3184773,163,"Poor customer service"
3184773,164,"Poor standard of cleanliness/dirty"
3184773,168,"Noisy"
3184743,166,"No air-conditioning/heating inadequate"
3184743,165,"Generally poor standard"
3184743,164,"Poor customer service"
3184743,167,"Another reason"
3184850,131,"No free internet"
3184850,132,"Noisy"
3184796,134,"No free internet"
3184850,127,"Poor/old facilities"
3184850,129,"Too expensive"
3184850,130,"Poor standard of cleanliness/dirty"
3184745,158,"Poor/old facilities"
3184796,132,"Poor/old facilities"
3184848,169,"Poor/old facilities"
3184850,128,"The Qualmark rating was too high"
3184850,133,"Another reason"
3184745,159,"The Qualmark rating was too high"
3184796,133,"The Qualmark rating was too high"
3184796,137,"Another reason"
3184796,135,"Generally poor standard"
3184796,136,"Noisy"
3184848,174,"No air-conditioning/heating inadequate"
3184848,175,"Another reason"
3184848,170,"Too expensive"
3184848,171,"Poor customer service"
3184848,172,"Poor standard of cleanliness/dirty"
3184889,149,"Poor/old facilities"
3184889,150,"Too expensive"
3184848,173,"Generally poor standard"
3184889,151,"Poor customer service"
3184889,152,"No free internet"
3184908,152,"The Qualmark rating was too high"
3184908,155,"Generally poor standard"
3184894,149,"Too expensive"
3184894,150,"Poor standard of cleanliness/dirty"
3184908,153,"Too expensive"
3184908,154,"Poor customer service"
3184745,160,"Poor standard of cleanliness/dirty"
3184894,151,"Noisy"
3184745,161,"No free internet"
3184745,163,"No air-conditioning/heating inadequate"
3184883,129,"No air-conditioning/heating inadequate"
3184745,162,"Generally poor standard"
3184745,164,"Poor value for money"
3184883,128,"Generally poor standard"
3184883,130,"Poor value for money"
3185348,137,"Poor value for money"
3185382,136,"Generally poor standard"
3185348,136,"No air-conditioning/heating inadequate"
3185348,138,"Noisy"
3185382,135,"No free internet"
3185382,134,"The Qualmark rating was too high"
3184952,148,"No free internet"
3184883,126,"Poor/old facilities"
3184883,127,"Poor standard of cleanliness/dirty"
3185348,134,"Poor/old facilities"
3185348,135,"Poor customer service"
3184952,147,"Too expensive"
3185382,138,"Noisy"
3185400,155,"Noisy"
3184908,156,"No air-conditioning/heating inadequate"
3185400,152,"Too expensive"
3184952,151,"Another reason"
3185400,151,"The Qualmark rating was too high"
3185441,139,"Another reason"
3184908,157,"Another reason"
3184911,144,"The Qualmark rating was too high"
3185400,153,"Poor standard of cleanliness/dirty"
3185441,137,"Poor standard of cleanliness/dirty"
3184911,143,"Poor/old facilities"
3185491,141,"Poor/old facilities"
3185491,142,"Poor standard of cleanliness/dirty"
3184911,145,"No free internet"
3185491,143,"No free internet"
3184952,149,"Generally poor standard"
3184952,150,"Poor value for money"
3185491,146,"Another reason"
3185067,140,"The Qualmark rating was too high"
3184765,138,"The Qualmark rating was too high"
3185067,144,"Another reason"
3185067,139,"Poor/old facilities"
3185550,147,"Poor/old facilities"
3185550,148,"Poor customer service"
3185067,141,"Too expensive"
3185067,142,"Poor standard of cleanliness/dirty"
3185675,151,"Too expensive"
3185382,137,"Poor value for money"
3185400,154,"Generally poor standard"
3185441,138,"Generally poor standard"
3185086,173,"The Qualmark rating was too high"
3185675,152,"Poor customer service"
3185086,174,"Poor customer service"
3185709,139,"Poor/old facilities"
3185709,140,"Too expensive"
3185709,141,"Poor customer service"
3185491,145,"Noisy"
3185550,149,"No free internet"
3185675,153,"No free internet"
3185086,175,"No air-conditioning/heating inadequate"
3185709,142,"No free internet"
3184911,146,"Poor value for money"
3185491,144,"Poor value for money"
3185067,143,"Poor value for money"
3185675,154,"Generally poor standard"
3185675,155,"Poor value for money"
3185086,176,"Poor value for money"
3185709,144,"No air-conditioning/heating inadequate"
3185709,147,"Another reason"
3185709,146,"Noisy"
3185734,139,"No free internet"
3185086,177,"Another reason"
3185723,134,"The Qualmark rating was too high"
3185734,137,"The Qualmark rating was too high"
3185741,158,"The Qualmark rating was too high"
3185709,143,"Generally poor standard"
3185709,145,"Poor value for money"
3185723,136,"Generally poor standard"
3184765,140,"Poor value for money"
3185723,133,"Poor/old facilities"
3185723,135,"Too expensive"
3184765,139,"Too expensive"
3185734,138,"Poor standard of cleanliness/dirty"
3185741,159,"Too expensive"
3185782,135,"The Qualmark rating was too high"
3185734,140,"Noisy"
3185741,162,"No free internet"
3185741,164,"No air-conditioning/heating inadequate"
3185741,166,"Noisy"
3185782,140,"Noisy"
3185741,163,"Generally poor standard"
3185741,165,"Poor value for money"
3185782,139,"Generally poor standard"
3185741,160,"Poor customer service"
3185741,161,"Poor standard of cleanliness/dirty"
3185782,134,"Poor/old facilities"
3185793,143,"No air-conditioning/heating inadequate"
3185793,144,"Noisy"
3184965,156,"No free internet"
3185793,142,"Generally poor standard"
3185782,136,"Too expensive"
3185782,137,"Poor customer service"
3185782,138,"Poor standard of cleanliness/dirty"
3185793,140,"Poor/old facilities"
3184965,154,"Poor/old facilities"
3184965,155,"Poor customer service"
3185793,141,"The Qualmark rating was too high"
3185793,145,"Another reason"
3185893,141,"No free internet"
3185893,143,"No air-conditioning/heating inadequate"
3185923,149,"No air-conditioning/heating inadequate"
3185893,142,"Generally poor standard"
3185923,148,"Generally poor standard"
3185893,140,"Poor customer service"
3185923,146,"Poor/old facilities"
3185923,147,"Poor customer service"
3186041,159,"No free internet"
3185893,144,"Another reason"
3186041,161,"Another reason"
3186041,157,"Too expensive"
3186041,158,"Poor customer service"
3185119,150,"Poor/old facilities"
3185119,151,"Poor standard of cleanliness/dirty"
3186041,160,"No air-conditioning/heating inadequate"
3185119,152,"No free internet"
3185119,153,"No air-conditioning/heating inadequate"
3186134,150,"No air-conditioning/heating inadequate"
3186134,147,"The Qualmark rating was too high"
3186134,153,"Another reason"
3186134,146,"Poor/old facilities"
3186134,148,"Too expensive"
3186134,149,"Poor customer service"
3186134,152,"Noisy"
3185119,154,"Noisy"
3185188,155,"No air-conditioning/heating inadequate"
3185188,152,"Too expensive"
3185188,153,"Poor standard of cleanliness/dirty"
3185185,157,"Poor/old facilities"
3185185,158,"Too expensive"
3184965,158,"Another reason"
3185188,151,"The Qualmark rating was too high"
3186134,151,"Poor value for money"
3184965,157,"Poor value for money"
3185188,154,"Generally poor standard"
3185185,160,"No free internet"
3185213,152,"No free internet"
3185213,153,"Another reason"
3184911,148,"Another reason"
3185185,161,"Poor value for money"
3184911,147,"Noisy"
3185240,155,"No air-conditioning/heating inadequate"
3184941,157,"The Qualmark rating was too high"
3185240,156,"Another reason"
3185185,159,"Poor standard of cleanliness/dirty"
3185213,150,"Poor customer service"
3185213,151,"Poor standard of cleanliness/dirty"
3184941,156,"Poor/old facilities"
3185240,153,"Poor customer service"
3185240,154,"Poor standard of cleanliness/dirty"
3185045,149,"No air-conditioning/heating inadequate"
3184941,158,"Poor standard of cleanliness/dirty"
3185270,130,"Poor/old facilities"
3185045,147,"Too expensive"
3185045,151,"Noisy"
3185112,142,"No free internet"
3185112,144,"No air-conditioning/heating inadequate"
3187193,157,"No free internet"
3187193,158,"No air-conditioning/heating inadequate"
3185045,148,"Generally poor standard"
3184941,159,"Another reason"
3185045,146,"The Qualmark rating was too high"
3187143,153,"Poor/old facilities"
3187143,154,"Poor customer service"
3185112,141,"Poor/old facilities"
3187193,155,"Too expensive"
3187193,156,"Poor standard of cleanliness/dirty"
3187193,160,"Noisy"
3187229,156,"No free internet"
3185045,150,"Poor value for money"
3187143,155,"Generally poor standard"
3187143,156,"Poor value for money"
3187193,161,"Another reason"
3187229,153,"The Qualmark rating was too high"
3187229,152,"Poor/old facilities"
3187229,154,"Too expensive"
3187229,155,"Poor standard of cleanliness/dirty"
3187229,158,"No air-conditioning/heating inadequate"
3187229,160,"Noisy"
3187243,148,"No free internet"
3187243,150,"No air-conditioning/heating inadequate"
3185112,143,"Generally poor standard"
3185112,145,"Poor value for money"
3187193,159,"Poor value for money"
3187243,146,"The Qualmark rating was too high"
3187243,147,"Too expensive"
3187229,157,"Generally poor standard"
3187229,159,"Poor value for money"
3187243,149,"Generally poor standard"
3187243,151,"Poor value for money"
3187327,147,"Generally poor standard"
3187327,148,"Poor value for money"
3187327,150,"Another reason"
3187327,143,"Poor/old facilities"
3187327,144,"Too expensive"
3187327,145,"Poor customer service"
3187327,146,"Poor standard of cleanliness/dirty"
3187327,149,"Noisy"
3187347,140,"No air-conditioning/heating inadequate"
3185270,133,"No free internet"
3185304,144,"No free internet"
3185270,131,"The Qualmark rating was too high"
3187347,141,"Another reason"
3187563,152,"The Qualmark rating was too high"
3187347,138,"Poor/old facilities"
3187347,139,"Too expensive"
3185270,132,"Poor customer service"
3185304,143,"Poor/old facilities"
3187563,151,"Poor/old facilities"
3187563,153,"Too expensive"
3187672,162,"No air-conditioning/heating inadequate"
3187563,155,"Poor value for money"
3187563,156,"Another reason"
3187681,147,"The Qualmark rating was too high"
3187563,154,"Poor standard of cleanliness/dirty"
3187672,161,"Poor standard of cleanliness/dirty"
3187681,146,"Poor/old facilities"
3187672,164,"Noisy"
3187681,149,"No free internet"
3187681,150,"Noisy"
3185304,145,"No air-conditioning/heating inadequate"
3187672,163,"Poor value for money"
3185304,146,"Poor value for money"
3187681,151,"Another reason"
3187736,126,"Not sure"
3185304,148,"Another reason"
3187681,148,"Too expensive"
3185304,147,"Noisy"
3185334,139,"No free internet"
3185334,141,"No air-conditioning/heating inadequate"
3185334,140,"Generally poor standard"
3185334,135,"The Qualmark rating was too high"
3185334,136,"Too expensive"
3185334,137,"Poor customer service"
3185334,138,"Poor standard of cleanliness/dirty"
3185351,132,"Poor/old facilities"
3185334,142,"Noisy"
3185351,136,"No air-conditioning/heating inadequate"
3185351,138,"Noisy"
3185415,153,"No air-conditioning/heating inadequate"
3185351,134,"Too expensive"
3185415,151,"Poor standard of cleanliness/dirty"
