"SurveyResponseID","AnswerNumber","AmenityType","SatisfactionRatingReason"
3184606,111,"Maori activities experienced","Good quality/standard"
3184616,100,"Maori activities experienced","Entertaining"
3184616,96,"Accommodation","No air-conditioning/heating inadequate"
3184620,93,"Accommodation","Poor customer service"
3184616,99,"Maori activities experienced","Learnt about a new culture"
3184620,96,"Food & beverage outlets","Alcohol too expensive"
3184616,102,"Maori activities experienced","Another indifferent or poor aspect"
3184620,92,"Accommodation","Poor/old facilities"
3184620,95,"Food & beverage outlets","Poor food quality"
3184606,109,"Maori activities experienced","Learnt about a new culture"
3184606,112,"Maori activities experienced","Good staff"
3184610,92,"Maori activities experienced","Learnt about a new culture"
3184616,97,"Accommodation","Noisy"
3184616,101,"Maori activities experienced","Good quality/standard"
3184620,100,"Maori activities experienced","Informative"
3184611,100,"Activities experienced","Another reason"
3184620,97,"Commercial transport","Poor customer service"
3184606,110,"Maori activities experienced","Entertaining"
3184620,98,"Commercial transport","Inconvenient public transportation"
3184624,94,"Commercial transport","No reason"
3184611,98,"Commercial transport","Inconvenient public transportation"
3184628,103,"Food & beverage outlets","Too expensive"
3184628,106,"Maori activities experienced","Learnt about a new culture"
3184624,93,"Food & beverage outlets","Limited choices"
3184624,96,"Maori activities experienced","Entertaining"
3184628,105,"Food & beverage outlets","Poor food quality"
3184636,100,"Activities experienced","Poor service"
3184610,93,"Maori activities experienced","Entertaining"
3184620,94,"Food & beverage outlets","Too expensive"
3184620,101,"Maori activities experienced","Good quality/standard"
3184606,113,"Customer service","No reason"
3184616,98,"Activities experienced","No reason"
3184611,99,"Activities experienced","Have to cancel the activity due to weather/road  c"
3184625,93,"Commercial transport","No reason"
3184620,99,"Maori activities experienced","Learnt about a new culture"
3184620,102,"Maori activities experienced","Good staff"
3184624,95,"Maori activities experienced","Learnt about a new culture"
3184628,104,"Food & beverage outlets","Limited choices"
3184611,101,"Maori activities experienced","Learnt about a new culture"
3184625,92,"Food & beverage outlets","No reason"
3184628,110,"Customer service","Another reason"
3184632,93,"Maori activities experienced","Good quality/standard"
3184648,99,"Food & beverage outlets","Poor service"
3184652,108,"Maori activities experienced","Good quality/standard"
3184628,108,"Maori activities experienced","Good quality/standard"
3184632,91,"Food & beverage outlets","Limited choices"
3184632,94,"Maori activities experienced","Well organised"
3184636,103,"Maori activities experienced","Well organised"
3184640,96,"Maori activities experienced","Informative"
3184648,98,"Accommodation","Poor customer service"
3184648,101,"Maori activities experienced","Entertaining"
3184628,109,"Maori activities experienced","Another indifferent or poor aspect"
3184632,92,"Maori activities experienced","Learnt about a new culture"
3184640,99,"Sense of safety","Felt unsafe"
3184636,101,"Maori activities experienced","Entertaining"
3184640,97,"Maori activities experienced","Entertaining"
3184648,102,"Maori activities experienced","Well organised"
3184652,104,"Food & beverage outlets","Poor food quality"
3184652,107,"Maori activities experienced","Entertaining"
3184660,109,"Food & beverage outlets","Poor food quality"
3184636,104,"Customer service","Another reason"
