"SurveyResponseID","AnswerNumber","SocialMediaUsed","TripStage"
3184616,129,"None of these","Planning trip to NZ"
3184606,140,"None of these","Planning trip to NZ"
3184625,124,"None of these","Planning trip to NZ"
3184620,139,"None of these","Planning trip to NZ"
3184624,116,"None of these","Planning trip to NZ"
3184611,125,"None of these","Planning trip to NZ"
3184628,140,"None of these","Planning trip to NZ"
3184616,131,"Facebook","After trip to NZ"
3184620,140,"None of these","During trip to NZ"
3184624,118,"None of these","After trip to NZ"
3184624,117,"Facebook","During trip to NZ"
3184606,141,"Weibu","During trip to NZ"
3184611,126,"Facebook","During trip to NZ"
3184625,126,"None of these","After trip to NZ"
3184620,141,"Facebook","After trip to NZ"
3184632,116,"None of these","Planning trip to NZ"
3184629,161,"Twitter","Planning trip to NZ"
3184615,138,"Facebook","Planning trip to NZ"
3184611,127,"None of these","After trip to NZ"
3184628,142,"None of these","After trip to NZ"
3184636,131,"None of these","Planning trip to NZ"
3184615,139,"Facebook","During trip to NZ"
3184632,117,"None of these","During trip to NZ"
3184619,142,"Twitter","Planning trip to NZ"
3184636,132,"None of these","During trip to NZ"
3184619,143,"None of these","During trip to NZ"
3184614,113,"Facebook","Planning trip to NZ"
3184616,130,"Facebook","During trip to NZ"
3184625,125,"None of these","During trip to NZ"
3184628,141,"Facebook","During trip to NZ"
3184615,140,"Facebook","After trip to NZ"
3184632,118,"Facebook","After trip to NZ"
3184606,142,"Kaixin or RenRen","After trip to NZ"
3184610,122,"None of these","Planning trip to NZ"
3184639,126,"None of these","Planning trip to NZ"
3184623,136,"None of these","Planning trip to NZ"
3184640,125,"None of these","Planning trip to NZ"
3184610,124,"Mixi","After trip to NZ"
3184614,114,"None of these","During trip to NZ"
3184610,123,"None of these","During trip to NZ"
3184623,138,"None of these","After trip to NZ"
3184629,162,"None of these","During trip to NZ"
3184636,133,"None of these","After trip to NZ"
3184640,126,"None of these","During trip to NZ"
3184619,144,"Facebook","After trip to NZ"
3184623,137,"Facebook","During trip to NZ"
3184640,127,"None of these","After trip to NZ"
3184647,132,"None of these","Planning trip to NZ"
3184648,132,"Facebook","During trip to NZ"
3184618,141,"None of these","During trip to NZ"
3184651,132,"None of these","Planning trip to NZ"
3184639,127,"None of these","During trip to NZ"
3184629,163,"None of these","After trip to NZ"
3184648,133,"Facebook","After trip to NZ"
3184637,120,"None of these","Planning trip to NZ"
3184637,121,"Facebook","During trip to NZ"
3184614,115,"Facebook","After trip to NZ"
3184618,142,"None of these","After trip to NZ"
3184634,129,"None of these","Planning trip to NZ"
3184647,134,"Weibu","After trip to NZ"
3184638,132,"None of these","Planning trip to NZ"
3184645,128,"Kaixin or RenRen","Planning trip to NZ"
3184622,141,"Facebook","During trip to NZ"
3184651,134,"None of these","After trip to NZ"
3184645,129,"None of these","During trip to NZ"
3184651,133,"None of these","During trip to NZ"
3184622,142,"None of these","After trip to NZ"
3184648,131,"None of these","Planning trip to NZ"
3184634,130,"None of these","During trip to NZ"
3184618,140,"None of these","Planning trip to NZ"
3184639,128,"None of these","After trip to NZ"
3184652,137,"None of these","Planning trip to NZ"
3184647,133,"None of these","During trip to NZ"
3184622,140,"None of these","Planning trip to NZ"
3184637,122,"None of these","After trip to NZ"
3184634,131,"None of these","After trip to NZ"
3184638,133,"None of these","During trip to NZ"
3184645,130,"Weibu","After trip to NZ"
3184667,129,"Facebook","Planning trip to NZ"
3184652,138,"Facebook","During trip to NZ"
3184663,139,"Facebook","Planning trip to NZ"
3184649,143,"None of these","Planning trip to NZ"
3184660,138,"None of these","Planning trip to NZ"
3184671,136,"None of these","Planning trip to NZ"
3184642,116,"Facebook","Planning trip to NZ"
3184667,130,"None of these","During trip to NZ"
3184663,141,"Facebook","After trip to NZ"
3184652,139,"Facebook","After trip to NZ"
3184667,131,"None of these","After trip to NZ"
3184671,137,"None of these","During trip to NZ"
3184649,144,"None of these","During trip to NZ"
3184642,118,"None of these","After trip to NZ"
3184660,140,"Facebook","After trip to NZ"
3184683,144,"None of these","After trip to NZ"
3184663,140,"Facebook","During trip to NZ"
3184660,139,"Facebook","During trip to NZ"
3184653,137,"Facebook","During trip to NZ"
3184671,138,"Mixi","After trip to NZ"
3184675,102,"None of these","During trip to NZ"
3184691,133,"Facebook","After trip to NZ"
3184662,129,"None of these","After trip to NZ"
3184662,127,"None of these","Planning trip to NZ"
3184664,122,"None of these","During trip to NZ"
