"SurveyResponseID","AnswerNumber","TechnologyType"
3184853,130,"Wi-fi internet locations"
3184853,131,"Your own laptop or iPad/tablet"
3184852,148,"A mobile phone purchased in New Zealand"
3184852,149,"Wi-fi internet locations"
3184850,110,"None of these"
3184849,131,"Wi-fi internet locations"
3184848,135,"Blackberry, iPhone or another smart phone"
3184847,128,"A mobile phone purchased in New Zealand"
3184847,129,"Wi-fi internet locations"
3184847,130,"Your own laptop or iPad/tablet"
3184840,132,"Your own mobile phone set to global roaming"
3184840,133,"A mobile phone purchased in New Zealand"
3184840,134,"Internet cafes"
3184837,135,"Your own mobile phone with a sim card purchased in New Zealand"
3184837,136,"Wi-fi internet locations"
3184836,121,"Your own mobile phone set to global roaming"
3184836,122,"A mobile phone purchased in New Zealand"
3184836,123,"Blackberry, iPhone or another smart phone"
3184835,120,"Blackberry, iPhone or another smart phone"
3184835,121,"Your own laptop or iPad/tablet"
3184834,131,"Your own laptop or iPad/tablet"
3184833,139,"Your own mobile phone set to global roaming"
3184833,140,"Wi-fi internet locations"
3184832,139,"Internet cafes"
3184832,140,"Wi-fi internet locations"
3184831,121,"Your own mobile phone with a sim card purchased in New Zealand"
3184831,122,"Your own laptop or iPad/tablet"
3184830,118,"None of these"
3184824,128,"Your own mobile phone with a sim card purchased in New Zealand"
3184824,129,"Your own mobile phone set to global roaming"
3184824,130,"Wi-fi internet locations"
3184824,131,"Your own laptop or iPad/tablet"
3184822,130,"Your own mobile phone set to global roaming"
3184822,131,"Internet cafes"
3184822,132,"Wi-fi internet locations"
3184822,133,"Your own laptop or iPad/tablet"
3184821,133,"Your own mobile phone with a sim card purchased in New Zealand"
3184821,134,"Wi-fi internet locations"
3184821,135,"Your own laptop or iPad/tablet"
3184820,108,"Your own mobile phone set to global roaming"
3184818,114,"Blackberry, iPhone or another smart phone"
3184818,115,"Internet cafes"
3184818,116,"Wi-fi internet locations"
3184817,124,"Blackberry, iPhone or another smart phone"
3184817,125,"Internet cafes"
3184816,121,"None of these"
3184815,98,"Your own mobile phone set to global roaming"
3184815,99,"Blackberry, iPhone or another smart phone"
3184815,100,"Wi-fi internet locations"
3184815,101,"Your own laptop or iPad/tablet"
3184813,122,"Your own mobile phone set to global roaming"
