"SurveyResponseID","AnswerNumber","TravelledWith"
3184602,38,"Other person(s)"
3184604,41,"My husband, wife or partner"
3184604,42,"Other person(s)"
3184605,42,"My husband, wife or partner"
3184605,43,"Other person(s)"
3184606,42,"My husband, wife or partner"
3184608,38,"My husband, wife or partner"
3184608,39,"Other person(s)"
3184609,41,"My husband, wife or partner"
3184609,42,"Child/children aged under 15"
3184611,38,"My husband, wife or partner"
3184611,39,"Other person(s)"
3184612,39,"Child/children aged 15 or older"
3184613,40,"My husband, wife or partner"
3184613,41,"Other person(s)"
3184615,43,"My husband, wife or partner"
3184616,42,"My husband, wife or partner"
3184616,43,"Other person(s)"
3184620,40,"Other family / relative(s)"
3184621,36,"Other person(s)"
3184625,45,"My husband, wife or partner"
3184625,46,"Other family / relative(s)"
3184625,47,"Other person(s)"
3184626,40,"My husband, wife or partner"
3184626,41,"Other family / relative(s)"
3184627,40,"My husband, wife or partner"
3184627,41,"Child/children aged 15 or older"
3184627,42,"Other person(s)"
3184629,43,"My husband, wife or partner"
3184629,44,"Other family / relative(s)"
3184630,41,"Other person(s)"
3184631,39,"My husband, wife or partner"
3184632,40,"My husband, wife or partner"
3184632,41,"Child/children aged under 15"
3184634,37,"My husband, wife or partner"
3184637,40,"My husband, wife or partner"
3184637,41,"Other person(s)"
3184638,39,"Other person(s)"
3184642,40,"My husband, wife or partner"
3184646,40,"My husband, wife or partner"
3184646,41,"Other family / relative(s)"
3184646,42,"Other person(s)"
3184648,40,"My husband, wife or partner"
3184648,41,"Other person(s)"
3184649,37,"My husband, wife or partner"
3184652,40,"Child/children aged 15 or older"
3184652,41,"Other person(s)"
3184653,42,"My husband, wife or partner"
3184654,39,"Child/children aged 15 or older"
3184655,39,"My husband, wife or partner"
3184655,40,"Other person(s)"
3184656,37,"My husband, wife or partner"
3184657,37,"My husband, wife or partner"
3184658,39,"My husband, wife or partner"
3184658,40,"Other family / relative(s)"
3184662,39,"Child/children aged under 15"
3184663,38,"My husband, wife or partner"
3184663,39,"Other family / relative(s)"
3184663,40,"Other person(s)"
3184665,39,"My husband, wife or partner"
3184665,40,"Other person(s)"
3184666,36,"My husband, wife or partner"
3184667,38,"My husband, wife or partner"
3184667,39,"Other person(s)"
3184668,41,"My husband, wife or partner"
3184668,42,"Other family / relative(s)"
3184668,43,"Other person(s)"
3184670,37,"My husband, wife or partner"
3184670,38,"Child/children aged under 15"
3184670,39,"Other family / relative(s)"
3184671,40,"My husband, wife or partner"
3184671,41,"Other person(s)"
3184672,36,"My husband, wife or partner"
3184672,37,"Other family / relative(s)"
3184672,38,"Other person(s)"
3184673,37,"Child/children aged under 15"
3184674,38,"My husband, wife or partner"
