"SurveyResponseID","AnswerNumber","iSiteUsage"
3184620,75,"Maps"
3184637,77,"Maps"
3184637,78,"Internet access"
3184620,74,"Access to resources to assist you to plan"
3184620,76,"Directions"
3184640,80,"Directions"
3184637,79,"Directions"
3184653,93,"Access to resources to assist you to plan"
3184620,73,"General information about the region you were in"
3184615,92,"General information about the region you were in"
3184653,91,"General information about the region you were in"
3184653,92,"Check/confirm existing travel plans"
3184620,77,"Information about amenities/services for the town you were in"
3184677,76,"Maps"
3184622,87,"Maps"
3184653,95,"Attractions / Activities"
3184677,77,"Information about Maori culture / cultural activities"
3184677,79,"Attractions / Activities"
3184677,78,"General information about a different region"
3184615,93,"Attractions / Activities"
3184615,94,"Suggested itineraries"
3184622,86,"General information about the region you were in"
3184708,77,"Check/confirm existing travel plans"
3184708,78,"Attractions / Activities"
3184724,88,"Weather information"
3184640,81,"Transport/ travel options around New Zealand"
3184653,94,"See ratings by other travellers"
3184620,78,"Event information"
3184724,89,"Event information"
3184673,95,"Accommodation in the region you were in"
3184696,89,"Information about amenities/services for the town you were in"
3184696,90,"Event information"
3184724,87,"General information about the region you were in"
3184724,90,"Attractions / Activities"
3184743,86,"Check/confirm existing travel plans"
3184743,89,"Compare prices / find deals"
3184673,93,"General information about the region you were in"
3184696,91,"Attractions / Activities"
3184618,95,"Accommodation in a different region"
3184743,87,"Access to resources to assist you to plan"
3184743,88,"Maps"
3184618,93,"Maps"
3184618,92,"General information about the region you were in"
3184618,94,"Compare prices / find deals"
3184618,96,"Attractions / Activities"
3184743,90,"Directions"
3184743,91,"General information about a different region"
3184673,94,"Directions"
3184696,88,"General information about a different region"
3184696,92,"Suggested itineraries"
3184793,91,"Accommodation in the region you were in"
3184794,85,"Accommodation in the region you were in"
3184811,75,"Event information"
3184878,81,"Transport/ travel options around New Zealand"
3184891,87,"Information about amenities/services for the town you were in"
3184908,90,"Information about amenities/services for the town you were in"
3184908,91,"Accommodation in a different region"
3184793,89,"General information about the region you were in"
3184622,88,"Directions"
3184622,89,"Suggested itineraries"
3184629,108,"Maps"
3184793,90,"Maps"
3184794,84,"Maps"
3184811,73,"Maps"
3184908,87,"Weather information"
3184909,80,"Accommodation in the region you were in"
3184811,76,"Attractions / Activities"
3184878,80,"Overview of NZ regions"
3184878,82,"Attractions / Activities"
3184891,85,"General information about the region you were in"
3184908,89,"Compare prices / find deals"
3184909,81,"Attractions / Activities"
3184629,109,"Directions"
3184811,74,"Directions"
3184908,88,"Maps"
3184909,79,"Maps"
3184928,89,"Overview of NZ regions"
3184943,78,"General information about the region you were in"
3184878,79,"Directions"
3184891,86,"General information about a different region"
3184909,82,"Suggested itineraries"
3184928,87,"Information about Maori culture / cultural activities"
3184928,88,"Directions"
3184928,90,"Suggested itineraries"
3184944,106,"See ratings by other travellers"
3184944,107,"Information about amenities/services for the town you were in"
3184944,108,"Accommodation in the region you were in"
3184958,91,"Accommodation in a different region"
3184943,80,"Attractions / Activities"
3184944,103,"General information about the region you were in"
3184944,105,"Overview of NZ regions"
3184944,109,"Attractions / Activities"
3184959,95,"Information about amenities/services for the town you were in"
3184959,96,"Event information"
3184958,89,"General information about the region you were in"
3184958,92,"Attractions / Activities"
3184959,93,"General information about the region you were in"
3184959,97,"Attractions / Activities"
3184975,95,"General information about the region you were in"
3184975,99,"Information about amenities/services for the town you were in"
3184943,79,"Access to resources to assist you to plan"
3184944,104,"Directions"
3184958,90,"Information about Maori culture / cultural activities"
3184959,98,"Suggested itineraries"
3184975,96,"Access to resources to assist you to plan"
3184975,98,"General information about a different region"
3184928,86,"Maps"
3184959,94,"Weather information"
3184995,78,"Information about amenities/services for the town you were in"
3184995,79,"Accommodation in the region you were in"
3184995,80,"Accommodation in a different region"
3185010,85,"See ratings by other travellers"
3185010,86,"Accommodation in a different region"
3184721,76,"Information about amenities/services for the town you were in"
3184975,97,"Maps"
3184721,75,"Maps"
3184975,100,"Attractions / Activities"
3184995,76,"General information about the region you were in"
3184634,86,"General information about the region you were in"
3185010,87,"Attractions / Activities"
3184629,110,"Overview of NZ regions"
3184721,77,"Attractions / Activities"
3184995,77,"Access to resources to assist you to plan"
3185043,105,"Accommodation in the region you were in"
3185043,106,"Event information"
3185059,92,"Accommodation in a different region"
3184730,94,"Accommodation in the region you were in"
3185043,103,"Overview of NZ regions"
3185059,91,"Overview of NZ regions"
3185059,93,"Attractions / Activities"
3185077,86,"Overview of NZ regions"
3184730,92,"General information about the region you were in"
3185094,80,"General information about the region you were in"
3185043,102,"Directions"
3185043,104,"General information about a different region"
3185059,90,"Directions"
3185077,85,"Access to resources to assist you to plan"
3185043,101,"Maps"
3185108,92,"Maps"
3185112,73,"Maps"
3185145,87,"Maps"
3185094,81,"Attractions / Activities"
3185108,91,"General information about the region you were in"
3185108,94,"Attractions / Activities"
3185112,76,"Attractions / Activities"
3185145,89,"Attractions / Activities"
3185159,95,"Compare prices / find deals"
3184730,93,"Access to resources to assist you to plan"
3185112,74,"Directions"
3185145,88,"General information about a different region"
3185159,96,"Directions"
3185159,97,"General information about a different region"
3185108,93,"Information about amenities/services for the town you were in"
3185112,75,"Event information"
3185159,98,"Accommodation in the region you were in"
3185159,99,"Accommodation in a different region"
3185195,80,"Information about amenities/services for the town you were in"
3185195,75,"General information about the region you were in"
3185195,81,"Attractions / Activities"
3185195,76,"Access to resources to assist you to plan"
3185195,78,"Directions"
3185195,79,"General information about a different region"
3185195,82,"Suggested itineraries"
3185211,87,"Access to resources to assist you to plan"
3185211,88,"Directions"
3185211,89,"General information about a different region"
3184773,89,"Accommodation in a different region"
3184773,90,"Transport/ travel options around New Zealand"
3185225,93,"Accommodation in the region you were in"
3185245,92,"Information about amenities/services for the town you were in"
3185245,93,"Accommodation in the region you were in"
3185245,94,"Flights within New Zealand"
3184773,91,"Attractions / Activities"
3185225,94,"Attractions / Activities"
3185195,77,"Maps"
3184773,87,"Weather information"
3184773,88,"Maps"
3185245,89,"Weather information"
3185245,90,"Maps"
3185260,95,"Maps"
3185312,77,"Accommodation in the region you were in"
3185245,88,"General information about the region you were in"
3185245,95,"Attractions / Activities"
3185260,94,"General information about the region you were in"
3185260,96,"Attractions / Activities"
3185312,74,"General information about the region you were in"
3185211,90,"Suggested itineraries"
3184773,92,"Suggested itineraries"
3185225,92,"General information about a different region"
3185327,82,"Accommodation in a different region"
3185327,83,"Transport/ travel options around New Zealand"
3185329,88,"Information about amenities/services for the town you were in"
3185329,89,"Accommodation in a different region"
3185329,90,"Event information"
3185245,91,"General information about a different region"
3185260,97,"Suggested itineraries"
3185312,76,"General information about a different region"
3185312,75,"Maps"
3185327,79,"Weather information"
3185327,80,"Maps"
3185329,86,"Weather information"
3185327,77,"General information about the region you were in"
3185327,81,"Overview of NZ regions"
3185327,84,"Attractions / Activities"
3185329,85,"Check/confirm existing travel plans"
3185329,91,"Attractions / Activities"
3185312,78,"Suggested itineraries"
3185327,78,"Access to resources to assist you to plan"
3185329,87,"General information about a different region"
3185329,92,"Suggested itineraries"
3185346,80,"General information about the region you were in"
3185346,83,"Attractions / Activities"
3185362,82,"General information about the region you were in"
3185362,85,"Information about amenities/services for the town you were in"
3185378,75,"Transport/ travel options around New Zealand"
3185396,92,"Information about amenities/services for the town you were in"
3185396,93,"Event information"
3185346,81,"Access to resources to assist you to plan"
3185346,82,"Directions"
3185362,83,"Access to resources to assist you to plan"
3185378,74,"Internet access"
3185396,90,"Weather information"
3185396,91,"Maps"
3185409,101,"Maps"
3185378,73,"General information about the region you were in"
3185378,76,"Attractions / Activities"
3184629,111,"Attractions / Activities"
3185396,89,"General information about the region you were in"
3185396,94,"Attractions / Activities"
3185409,100,"General information about the region you were in"
3185362,84,"General information about a different region"
3184629,112,"Suggested itineraries"
3185410,76,"Maps"
3184638,91,"Maps"
3185443,90,"Weather information"
3185410,78,"Attractions / Activities"
3184638,89,"General information about the region you were in"
3185443,89,"General information about the region you were in"
3185443,92,"Attractions / Activities"
3185459,78,"Compare prices / find deals"
3185459,81,"Attractions / Activities"
