"","CERTIFY","APPROVE","SPECCERT","WOULDYOU","RECERT","SUBDISC","COLLEGE","EMPLOY","WORKENV","WORKACT","YEARSMEM"
"1",4,2,5,5,3,"BI","P","E","G","C",23
"2",2,2,3,2,1,"QP","P","E","I","P",4
"3",2,2,4,5,4,"BI","P","E","A","R",9
"4",1,1,2,1,5,"CE","M","E","A","C",6
"5",1,1,1,1,2,"SP","P","E","I","P",9
"6",5,5,5,3,5,"BI","P","E","G","R",57
"7",3,3,3,2,3,"BI","M","E","I","R",3
"8",1,1,1,1,1,"QP","B","E","I","P",3
"9",5,3,1,3,5,"EN","M","E","G","P",6
"10",4,3,0,5,1,"BE","P","E","A","E",8
"11",5,2,5,1,5,"QP","M","E","I","C",4
"12",4,2,5,1,5,"BP","P","E","I","P",7
"13",2,2,5,1,5,"BI","P","E","A","R",4
"14",5,5,5,5,5,"BA","P","E","A","R",28
"15",2,4,1,2,3,"SR","M","E","I","P",47
"16",2,2,2,1,1,"BE","M","I","A","S",14
"17",2,4,2,1,5,"BI","M","E","A","P",12
"18",2,3,5,4,5,"BI","M","I","A","S",14
"19",4,4,2,1,5,"BP","M","E","G","R",10
"20",5,5,5,2,5,"QP","M","E","I","C",10
"21",5,5,3,5,1,"BI","P","E","A","R",55
"22",5,5,5,1,5,"SS","P","E","G","P",9
"23",5,5,5,5,0,"BA","P","E","A","R",36
"24",5,5,5,5,5,"","P","E","I","R",15
"25",1,3,1,1,4,"BI","M","E","A","P",55
"26",2,3,3,4,3,"BI","P","E","A","R",26
"27",2,3,2,2,2,"CM","B","S","I","C",3
"28",1,1,2,1,1,"QP","M","E","I","P",5
"29",5,5,5,1,5,"BP","M","E","I","P",9
"30",1,1,5,1,2,"BP","P","E","I","R",13
"31",2,2,4,5,5,"BI","P","E","A","E",31
"32",2,2,4,1,1,"SS","P","E","A","R",36
"33",2,2,5,2,5,"EN","M","E","I","P",57
"34",5,5,5,5,5,"SS","P","E","A","E",8
"35",1,1,1,2,5,"BE","P","E","A","E",25
"36",2,1,5,1,5,"BP","M","E","I","P",58
"37",2,2,4,2,5,"BI","P","E","A","E",58
"38",5,5,4,2,3,"SS","M","I","A","S",14
"39",2,2,4,5,2,"BE","P","E","I","R",28
"40",5,5,5,5,5,"QP","B","E","I","R",14
"41",2,5,1,3,1,"EN","P","E","I","C",36
"42",1,1,2,4,2,"BE","B","R","I","C",39
"43",5,5,5,5,5,"SS","B","E","A","R",12
"44",5,4,5,2,2,"BE","P","S","I","C",20
"45",2,1,5,4,2,"CM","M","E","I","C",26
"46",4,4,5,1,5,"BI","P","E","A","R",10
"47",1,1,2,1,2,"PE","M","E","I","P",47
"48",5,5,5,4,5,"CE","P","E","A","E",15
"49",5,0,5,5,5,"QP","P","E","I","C",11
"50",2,2,1,1,2,"PE","P","E","G","R",15
"51",1,1,1,1,1,"EN","P","E","I","R",11
"52",2,3,2,5,5,"SS","P","R","","",52
"53",5,5,5,5,3,"GV","M","E","G","C",9
"54",3,2,2,4,2,"SR","M","E","A","E",36
"55",5,5,5,5,5,"SS","P","E","A","E",15
"56",5,5,5,5,5,"QP","B","E","I","C",25
"57",1,1,2,1,1,"BP","P","E","I","C",6
"58",1,2,2,4,2,"CM","P","E","A","E",26
"59",5,5,4,2,1,"BA","P","E","A","R",59
"60",2,1,2,2,1,"PE","M","E","I","P",47
"61",5,5,5,2,2,"GV","M","E","G","P",25
"62",2,2,5,5,3,"GV","B","E","G","R",4
"63",2,0,0,0,0,"BI","P","E","A","R",12
"64",5,5,5,5,5,"SS","P","E","A","R",8
"65",2,4,5,1,5,"BE","P","E","A","E",14
"66",4,4,5,5,2,"BI","P","E","G","C",55
"67",5,4,5,2,1,"BI","P","E","A","R",23
"68",1,1,1,1,2,"EN","P","E","A","E",10
"69",2,2,2,1,1,"BI","M","E","I","C",58
"70",5,5,5,1,1,"CM","P","E","A","E",16
"71",1,1,1,1,1,"BA","P","E","A","R",26
"72",2,2,2,2,1,"TH","P","E","A","E",7
"73",5,5,5,5,5,"BE","B","E","I","P",10
"74",5,5,5,4,3,"SS","P","E","A","E",25
"75",5,5,1,2,5,"SR","P","E","A","E",18
"76",2,3,5,1,5,"EN","P","S","I","C",20
"77",1,1,1,1,5,"BI","P","E","A","P",47
"78",1,1,5,1,5,"BE","P","R","A","E",14
"79",4,4,3,1,3,"BI","M","E","G","P",25
"80",1,1,2,2,1,"QP","P","E","A","E",15
"81",1,2,4,1,3,"BE","P","E","A","E",31
"82",1,3,1,1,2,"MR","M","E","I","P",36
"83",5,5,5,5,1,"CE","P","S","A","C",26
"84",2,1,4,5,2,"BI","P","E","G","R",15
"85",5,5,5,1,5,"","M","E","I","C",25
"86",2,2,4,2,5,"BE","P","E","A","E",14
"87",5,5,5,3,3,"CM","P","E","A","E",24
"88",2,2,5,2,5,"BP","M","E","A","R",14
"89",1,1,5,1,2,"BI","P","E","G","R",22
"90",5,5,5,5,3,"BE","P","E","A","E",8
"91",1,1,2,2,5,"PE","P","E","A","R",24
"92",1,1,2,1,4,"CE","P","E","A","E",15
"93",5,3,5,5,3,"CM","M","R","","R",31
"94",5,5,5,5,5,"TH","P","E","A","R",18
"95",5,5,5,5,5,"CM","P","E","G","R",4
"96",2,3,2,2,4,"BE","P","E","A","E",14
"97",2,3,1,2,2,"BE","M","E","I","P",57
"98",5,5,5,5,5,"CE","M","I","A","S",14
"99",1,1,1,4,1,"BE","M","E","A","E",14
"100",5,5,5,5,5,"EN","P","E","A","R",25
"101",4,5,5,4,5,"BI","P","E","A","R",47
"102",5,5,5,5,5,"BE","P","E","A","E",19
"103",2,2,5,1,2,"TH","P","E","A","R",15
"104",4,5,3,4,4,"BE","B","E","I","P",3
"105",5,5,5,4,3,"SG","P","E","A","E",11
"106",2,3,2,2,1,"GV","P","E","A","E",20
"107",5,5,5,5,3,"BP","M","E","I","C",47
"108",4,5,5,5,1,"BE","P","E","A","R",58
"109",1,1,1,1,2,"BE","P","E","A","E",9
"110",5,3,5,1,3,"BI","P","E","I","P",4
"111",1,1,2,1,2,"BI","M","E","I","P",4
"112",4,4,4,2,5,"PE","M","E","G","C",4
"113",1,2,2,1,5,"PE","M","E","I","C",26
"114",4,4,5,5,3,"BI","P","E","A","R",11
"115",1,1,5,1,1,"CE","P","E","A","E",20
"116",1,1,1,1,3,"BP","M","E","I","P",59
"117",2,4,2,2,1,"GV","M","S","I","C",15
"118",1,2,5,2,2,"CM","M","E","I","R",14
"119",1,1,5,1,1,"BE","P","E","A","E",19
"120",1,1,2,5,2,"BA","P","E","A","R",26
"121",1,3,1,1,1,"BP","P","E","I","C",11
"122",4,4,4,4,4,"BP","M","E","I","P",3
"123",4,3,4,2,5,"BI","P","E","A","C",4
"124",5,5,5,5,5,"PE","P","E","I","R",47
"125",5,5,2,1,4,"EN","M","E","I","R",14
"126",1,1,2,1,2,"CE","P","E","I","R",15
"127",3,5,1,1,2,"PE","M","E","I","C",22
"128",5,5,5,5,3,"BI","P","S","I","C",13
"129",5,5,2,5,2,"SS","P","E","A","E",14
"130",2,2,4,2,4,"BI","M","E","I","P",25
"131",2,2,5,1,5,"BI","P","E","A","R",8
"132",2,2,4,2,4,"BI","P","E","A","E",7
"133",1,1,1,1,3,"GV","M","E","G","C",26
"134",5,5,5,5,5,"SS","P","E","A","R",31
"135",2,2,2,5,2,"SS","M","E","G","P",15
"136",1,0,0,1,5,"EN","M","E","G","P",25
"137",2,5,2,2,3,"GV","P","E","G","R",11
"138",2,3,2,2,2,"BE","B","E","I","P",3
"139",2,2,5,1,1,"BP","M","E","I","C",15
"140",5,5,5,1,5,"BP","P","E","A","C",20
"141",1,2,1,4,3,"CM","M","E","A","E",4
"142",3,0,0,0,0,"","P","E","A","E",58
"143",5,5,5,4,2,"PE","M","E","I","P",25
"144",5,5,5,5,5,"PE","P","E","I","P",4
"145",1,2,3,2,5,"","P","E","A","E",18
"146",4,3,4,1,2,"CM","P","E","A","E",20
"147",2,2,2,1,3,"BI","P","E","A","R",15
"148",1,3,5,1,1,"BE","P","E","A","E",10
"149",4,5,0,4,2,"BI","P","E","A","E",9
"150",2,2,4,5,2,"PE","P","E","G","C",42
"151",5,5,5,5,1,"CE","P","R","A","E",20
"152",1,2,2,1,2,"EN","P","E","A","R",9
"153",1,1,5,2,5,"TH","","","G","E",14
"154",2,2,3,1,2,"QP","P","E","A","E",4
"155",3,3,3,5,5,"PE","P","R","G","R",54
"156",5,5,5,5,3,"BI","P","E","G","P",15
"157",5,5,5,5,3,"BI","P","E","I","P",15
"158",5,5,5,5,5,"BI","M","R","G","R",20
"159",5,5,5,5,1,"CM","P","S","I","C",9
"160",1,2,3,2,0,"PE","P","E","A","E",32
"161",5,5,5,5,5,"CM","P","E","A","E",18
"162",5,0,5,5,5,"QP","M","R","I","C",4
"163",2,3,2,4,1,"CM","M","E","G","R",47
"164",5,5,5,5,5,"CM","M","E","I","R",26
"165",5,5,5,1,1,"TH","B","E","A","P",14
"166",2,2,5,1,0,"","M","I","I","P",1
"167",3,2,5,5,2,"CE","P","E","A","E",16
"168",5,3,5,4,3,"PE","M","E","I","P",57
"169",1,2,5,2,5,"PE","P","E","I","R",15
"170",2,2,4,2,5,"EN","P","E","G","C",25
"171",2,2,4,2,3,"BP","P","E","I","P",4
"172",5,5,5,5,5,"PE","P","R","I","P",31
"173",5,5,5,5,5,"BA","P","E","A","R",59
"174",3,4,2,3,5,"BP","M","E","I","P",6
"175",5,5,5,5,5,"BE","P","E","A","R",36
"176",2,2,3,1,1,"QP","P","E","A","E",11
"177",5,5,2,2,5,"BA","P","E","A","E",6
"178",1,1,2,1,1,"BI","P","E","A","C",57
"179",5,5,5,3,3,"BE","P","E","A","R",3
"180",5,5,5,3,0,"SS","P","E","G","R",3
"181",1,1,3,1,3,"BE","P","E","I","R",25
"182",5,5,5,1,5,"QP","P","E","I","C",15
"183",1,2,2,1,4,"BI","M","E","I","P",11
"184",5,5,5,1,5,"CM","P","E","I","C",20
"185",2,2,3,2,4,"BE","M","R","G","P",9
"186",3,5,3,4,5,"BE","M","E","I","P",14
"187",1,2,1,2,1,"MR","P","E","I","C",9
"188",5,5,5,5,5,"","P","E","A","R",57
"189",5,5,5,5,1,"CM","M","E","I","P",22
"190",1,2,3,2,1,"CM","M","E","A","P",37
"191",1,2,2,1,2,"CE","M","E","I","C",4
"192",5,5,5,5,5,"PE","P","E","I","R",5
"193",2,2,5,4,5,"PE","M","E","I","C",18
"194",5,5,5,5,5,"","P","E","G","P",24
"195",2,2,1,5,1,"SR","M","R","G","C",41
"196",5,5,5,1,2,"BP","P","E","G","P",3
"197",5,5,5,5,5,"QP","M","E","I","C",14
"198",2,3,2,4,1,"BE","P","E","A","E",14
"199",1,1,2,4,5,"EN","M","E","G","P",3
"200",1,1,2,1,3,"BI","M","E","I","C",7
"201",5,3,1,1,5,"BP","P","E","I","P",58
"202",5,0,5,5,5,"GV","B","E","G","P",59
"203",1,2,1,2,3,"SS","P","E","I","R",9
"204",5,5,5,5,5,"BP","P","E","I","P",10
"205",5,5,2,5,3,"BE","P","S","A","C",20
"206",1,1,5,1,1,"BI","P","E","A","C",17
"207",1,2,2,1,5,"BP","M","E","I","P",25
"208",5,5,3,5,2,"BE","M","E","G","P",5
"209",5,5,5,5,5,"BI","P","S","I","P",9
"210",2,2,3,2,3,"CE","P","E","A","E",26
"211",1,1,2,4,2,"QP","M","R","I","P",4
"212",1,1,1,1,1,"QP","M","I","I","P",3
"213",4,2,5,5,5,"EN","P","E","A","E",6
"214",2,4,5,4,5,"CM","P","E","A","E",14
"215",1,1,5,2,0,"SS","P","R","A","C",3
"216",1,2,5,2,2,"CE","P","E","A","E",13
"217",2,2,5,4,1,"","P","E","A","C",37
"218",2,4,5,2,5,"QP","P","E","A","E",22
"219",5,5,5,1,5,"BP","P","E","I","P",18
"220",2,3,2,2,4,"PE","P","E","A","R",25
"221",1,2,2,4,1,"QP","P","R","A","E",32
"222",5,5,5,3,5,"GV","M","E","G","R",14
"223",5,5,5,5,5,"BI","P","E","A","R",8
"224",5,5,1,5,1,"BA","P","E","A","E",25
"225",5,5,3,2,0,"QP","M","E","I","",20
"226",1,1,1,1,1,"BI","M","E","A","P",18
"227",1,1,2,1,2,"EN","M","E","I","P",14
"228",2,2,4,1,2,"BI","M","E","G","P",8
"229",1,2,3,1,2,"BI","M","E","G","R",57
"230",5,5,5,5,2,"BI","P","E","A","E",15
"231",5,4,3,5,2,"BE","P","E","A","E",14
