"SERNUM","CTBAND","ADULTH","DEPCHLDH","GROSS2","HHINC","PSU","TENURE"
2895,1,2,0,406,4,198,4
1022,2,1,0,560,13,71,1
855,6,1,0,514,14,61,1
2585,4,2,0,382,18,177,1
704,6,2,0,537,19,50,1
4564,3,2,0,490,22,311,2
2723,7,2,0,470,26,185,1
2381,4,1,2,322,28,164,1
3254,3,2,5,347,31,222,4
4258,9,1,0,608,32,291,4
1094,1,1,0,539,39,76,3
2524,3,1,0,763,40,173,4
2694,1,1,0,799,40,183,4
3259,1,1,0,621,40,223,3
531,2,1,0,437,41,38,1
603,1,1,0,683,41,43,2
1658,1,2,0,458,41,113,2
4402,4,1,0,485,41,300,4
1425,3,1,0,755,42,98,1
4018,2,2,0,593,43,275,1
180,3,1,0,573,44,12,1
699,7,1,0,609,44,50,1
2161,5,1,0,345,44,150,1
2434,7,2,0,517,44,167,1
2840,1,1,0,768,44,194,1
1904,4,1,1,271,45,130,4
2206,1,1,0,661,45,153,4
2310,2,1,0,444,45,160,1
351,1,1,0,625,47,25,1
1103,1,2,0,877,47,76,4
1913,7,2,0,408,47,130,1
1490,3,1,0,538,48,103,4
512,1,1,0,584,49,36,3
893,1,1,0,771,49,63,1
707,5,2,2,447,50,50,1
1305,3,2,0,433,50,91,1
3263,2,1,0,422,50,223,1
3459,5,2,0,636,50,236,4
3807,5,2,0,455,50,261,1
4000,3,1,0,572,50,274,1
1768,1,1,0,901,52,120,2
2652,1,1,0,458,52,181,1
3567,2,1,0,392,53,243,1
3849,1,1,0,587,53,264,3
4292,1,1,0,421,53,293,2
3301,1,1,0,641,54,226,2
3773,4,1,0,446,54,258,1
40,7,2,0,522,55,3,1
976,6,2,0,552,55,68,1
4134,2,1,0,603,55,283,2
1746,5,2,0,524,56,118,1
1894,6,3,0,683,56,129,1
3945,4,1,0,509,56,270,1
117,1,1,0,653,57,8,1
2304,1,2,0,396,57,159,2
606,3,1,0,5238,58,43,4
1698,2,1,0,343,58,116,4
2164,1,1,0,349,58,150,2
1162,3,2,0,751,59,80,4
1370,9,1,0,701,59,95,4
4232,1,1,0,315,59,289,4
207,2,1,0,625,60,15,4
4159,2,2,0,524,60,285,1
1240,1,1,0,719,62,86,3
1795,2,2,0,581,62,122,4
1531,1,1,0,658,63,105,1
213,3,1,0,792,64,15,4
3583,6,2,0,489,65,244,1
2103,1,1,0,632,66,145,2
2797,3,1,0,348,66,191,2
3572,1,1,1,313,66,243,2
4145,1,1,0,413,66,284,2
4423,1,1,0,378,66,301,2
245,2,1,0,398,68,17,1
2176,1,1,0,596,68,151,2
87,1,1,0,530,69,6,4
475,2,1,0,361,69,34,2
1605,1,1,0,745,70,109,2
1912,4,4,1,294,70,130,4
3201,1,1,0,380,70,219,2
4391,4,1,0,364,70,300,1
4544,1,1,0,364,70,310,4
329,2,1,0,622,71,23,1
946,1,1,0,905,71,66,3
2223,4,1,0,361,71,154,1
3710,3,1,0,493,71,253,3
3610,3,1,0,348,72,246,1
2338,6,2,0,543,73,161,1
3576,9,1,0,316,73,244,4
1646,2,1,0,315,74,112,2
1982,4,1,2,403,74,135,4
58,2,1,0,496,75,4,1
222,1,1,0,646,75,16,1
208,2,1,0,712,76,15,1
2157,2,1,0,757,76,150,1
3926,2,1,0,384,77,269,2
4542,1,1,0,839,77,310,3
970,2,2,0,527,78,68,1
2041,1,2,0,438,78,140,2
2229,1,1,0,556,78,155,2
4641,1,1,0,742,78,317,4
2199,3,1,0,561,79,153,2
1095,1,1,0,573,80,76,3
1100,2,1,0,923,80,76,3
4555,2,1,0,431,80,311,4
4379,3,1,0,345,81,299,1
4469,3,1,0,342,81,304,2
833,1,1,0,685,82,59,1
327,2,1,0,647,83,23,1
