Id,Guests,Adults,Children,Leisure,Business,Cottage
300000,,1,0,0,0,1
300001,,,,,,
300002,,2,0,0,0,14
300003,,,,,,
300004,,1,3,0,0,0
300005,,2,1,0,0,0
300006,,2,0,0,0,0
300007,,4,0,0,0,0
300008,,2,2,0,0,2
300009,,2,0,0,0,0
300010,,3,0,0,0,0
300011,,,,,,
300012,2,2,0,0,0,2
300013,,1,0,0,0,0
300014,,3,0,0,0,11
300015,,4,0,0,0,0
300016,,1,0,0,0,1
300017,,1,0,0,0,0
300018,,1,0,0,0,0
300019,,,,,,
300020,,2,1,0,0,0
300021,,,,,,
300022,,,,,,
300023,,2,0,1,0,1
300024,,3,0,0,0,6
300025,4,4,1,1,0,0
300026,,2,0,0,0,0
300027,,,,,,
300028,,2,0,0,0,0
300029,,1,0,0,0,0
300030,,2,1,1,0,0
300031,,2,1,0,0,4
300032,,,,,,
300033,,2,1,1,0,0
300034,,1,2,0,0,0
300035,,1,0,0,0,0
300036,,3,0,0,0,0
300037,1,2,2,2,0,0
300038,,2,0,0,0,1
300039,,2,0,0,0,0
300040,,,,,,
300041,,,,,,
300042,,,,,,
300043,,2,0,0,0,9
300044,,2,0,0,0,2
300045,,,,,,
300046,,2,2,1,0,0
300047,,,,,,
300048,,,,,,
300049,,4,0,0,0,0
300050,,2,0,0,0,2
300051,,2,0,1,0,0
300052,,2,0,0,0,0
300053,1,2,2,0,0,0
300054,,,,,,
300055,,2,1,0,0,0
300056,,,,,,
300057,,2,2,0,0,0
300058,,,,,,
300059,,,,,,
300060,1,2,0,2,0,1
300061,,2,0,1,0,1
300062,,2,0,1,0,4
300063,,3,1,0,0,0
300064,,3,1,0,0,0
300065,,,,,,
300066,,,,,,
300067,,,,,,
300068,,2,0,0,0,2
300069,,2,0,0,0,0
300070,,2,0,0,0,0
300071,,,,,,
300072,,5,0,1,0,2
300073,,5,0,1,0,0
300074,,2,0,0,0,0
300075,,2,0,0,0,0
300076,,2,0,2,0,4
300077,,,,,,
300078,,3,1,0,0,0
300079,,2,1,0,0,5
300080,,,,,,
300081,,2,0,0,0,0
300082,,2,0,0,0,0
300083,,2,0,1,0,0
300084,,2,0,0,0,0
300085,,3,0,0,0,1
300086,,2,0,0,1,0
300087,,,,,,
300088,,,,,,
300089,,,,,,
300090,,,,,,
300091,,,,,,
300092,,2,3,0,1,0
300093,,1,0,0,0,0
300094,,2,0,1,0,0
300095,,1,0,0,0,1
300096,,1,0,0,0,0
300097,,2,0,0,0,0
300098,,2,0,1,0,0
300099,,,,,,
300100,,2,0,0,0,0
300101,,,,,,
300102,,2,0,0,0,1
300103,,3,0,0,0,2
300104,,,,,,
300105,,2,0,0,0,0
300106,,2,0,2,2,0
300107,,,,,,
300108,,,,,,
300109,,,,,,
300110,,1,1,1,2,0
300111,,3,0,0,0,0
300112,,3,1,0,0,1
300113,1,2,0,0,0,2
300114,,2,0,0,0,0
300115,4,1,0,0,8,6
300116,,,,,,
300117,,1,0,1,0,1
300118,,,,,,
300119,,,,,,
300120,,2,0,0,1,0
300121,,2,0,0,0,3
300122,1,2,0,0,0,0
300123,,2,0,1,0,1
300124,,2,0,0,0,0
300125,,2,1,0,0,0
300126,,2,3,0,0,0
300127,,,,,,
300128,,2,2,0,0,0
300129,,2,1,0,0,1
300130,,,,,,
300131,,5,0,1,0,0
300132,,1,0,0,0,0
300133,,,,,,
300134,,2,0,0,0,0
300135,1,2,0,0,0,0
300136,2,2,0,0,0,3
300137,,,,,,
300138,,6,0,0,0,0
300139,,,,,,
300140,,2,3,0,0,1
300141,,2,2,0,0,0
300142,,3,0,0,0,0
300143,,,,,,
300144,,,,,,
300145,,3,2,2,0,1
300146,,,,,,
300147,,2,0,0,0,0
300148,,,,,,
300149,,2,0,2,0,0
300150,,1,0,0,0,1
300151,,2,0,0,0,0
300152,,2,0,1,0,0
300153,,2,0,1,6,0
300154,,2,2,0,1,0
300155,,,,,,
300156,,,,,,
300157,,1,0,0,0,0
300158,,4,0,0,0,2
300159,,,,,,
300160,,2,0,0,0,0
300161,,,,,,
300162,,2,2,0,0,2
300163,,4,1,0,0,0
300164,,,,,,
300165,1,2,2,0,0,2
300166,,2,2,0,0,1
300167,,3,0,0,0,0
300168,,2,0,0,0,0
300169,,,,,,
300170,,2,0,0,0,0
300171,1,2,0,1,0,2
300172,,,,,,
300173,,4,0,1,0,0
300174,,2,3,1,0,1
300175,,2,1,0,0,2
300176,1,2,0,1,0,1
300177,,,,,,
300178,,2,0,0,0,0
300179,,2,0,0,0,0
300180,,,,,,
300181,,2,0,0,0,0
300182,,2,0,0,0,0
300183,,3,1,0,5,1
300184,,2,2,1,0,2
300185,,3,2,2,0,0
300186,1,1,0,0,1,0
300187,,,,,,
300188,1,1,0,0,0,0
300189,,,,,,
300190,,2,2,1,0,0
300191,,1,0,0,0,2
300192,,2,0,0,0,2
300193,,2,0,0,0,2
300194,,3,0,1,0,0
300195,,1,0,0,0,0
300196,,2,0,1,0,0
300197,,4,0,0,0,0
300198,,4,0,0,5,0
300199,,4,0,0,0,0
300200,,,,,,
300201,,2,2,0,0,1
300202,,,,,,
300203,,2,1,1,0,1
300204,,2,5,1,0,0
300205,,1,0,1,0,0
300206,,1,0,0,0,2
300207,,4,0,0,0,1
300208,,2,0,0,0,2
300209,,2,0,0,0,0
300210,,1,0,0,0,0
300211,1,3,1,0,0,2
300212,,4,0,1,0,1
300213,,,,,,
300214,1,2,2,0,0,0
300215,,,,,,
300216,,,,,,
300217,,2,0,0,0,0
300218,,3,0,1,0,1
300219,,2,0,0,0,0
300220,,2,0,1,0,3
300221,,3,0,1,0,20
300222,,3,0,0,1,2
300223,,3,0,0,0,6
300224,,2,2,0,0,0
300225,,1,0,0,0,0
300226,,2,2,0,0,0
300227,,1,2,0,0,0
300228,,1,0,1,0,0
300229,,1,0,0,0,2
300230,,2,0,0,0,2
300231,,,,,,
300232,,2,3,0,3,1
300233,,1,1,0,0,0
300234,,2,2,0,1,0
300235,,2,0,0,0,1
300236,,4,0,0,0,0
300237,,2,0,0,0,1
300238,,1,0,2,0,3
300239,,1,0,0,0,0
300240,,,,,,
300241,,2,0,0,1,0
300242,,2,2,2,0,0
300243,,,,,,
300244,,2,0,0,0,0
300245,,1,0,1,0,0
300246,,2,0,0,0,0
300247,,,,,,
300248,,4,0,0,0,0
300249,,2,2,0,0,0
300250,,,,,,
300251,,1,0,0,0,0
300252,,1,0,0,0,0
300253,,,,,,
300254,,1,0,0,0,1
300255,,2,0,0,0,0
300256,1,2,1,0,0,0
300257,,3,0,1,0,20
300258,,,,,,
300259,,1,0,0,0,0
300260,,2,0,0,0,0
300261,,1,0,0,0,0
300262,,2,0,1,0,1
300263,1,2,0,1,0,1
300264,,,,,,
300265,,,,,,
300266,,2,0,0,0,0
300267,,,,,,
